"m0H [T](Temperature [K]), created by Plot Digitizer, 2.6.8"
"Date: 20/12/15, 13:03:39"


26
Temperature [K],m0H [T]
228.042,9.02004,
240.035,2.56125,
232.275,4.78842,
235.450,2.56125,
236.508,1.44766,
241.799,10.1336,
229.806,10.8018,
231.922,9.24276,
234.039,7.68374,
236.508,6.12472,
237.566,4.78842,
241.446,0.779510,
232.981,12.3608,
234.392,10.5791,
236.861,9.24276,
239.330,7.23831,
240.741,4.78842,
242.152,3.67483,
243.210,1.22494,
238.977,11.9154,
242.504,8.57461,
244.268,7.01559,
246.032,5.67929,
247.443,3.67483,
248.854,1.89310,
249.559,0.779510,
