"Hc4 (Oe)(T (K)), created by Plot Digitizer, 2.6.8"
"Date: 22/02/10, 14:45:15"


26
T (K),Hc4 (Oe)
0.203478,1650.31,
0.286957,1503.07,
0.427826,1251.53,
0.553043,1000,
0.670435,748.466,
0.803478,496.933,
0.900000,257.669,
0.965217,92.0245,
0.516522,1294.48,
0.558261,1190.18,
0.607826,1079.75,
0.662609,901.841,
0.717391,785.276,
0.772174,650.307,
0.821739,521.472,
0.873913,374.233,
0.928696,245.399,
0.983478,122.699,
0.313043,1754.60,
0.430435,1509.20,
0.532174,1245.40,
0.628696,1000,
0.725217,760.736,
0.829565,490.798,
0.920870,251.534,
0.978261,110.429,
