"r (mWcm)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/12/03, 16:14:46",
,
,
292,
T (K),r (mWcm)
0,0
1.8018,0.371195
16.4565,30.8092
3.48348,12.9918
3.96396,15.9614
4.68468,18.931
5.88589,21.1581
7.56757,22.6429
9.48949,24.1277
12.1321,27.0973
14.5345,27.8396
19.5796,32.294
21.982,33.7788
26.5465,38.2331
29.1892,39.7179
32.7928,44.1722
36.3964,47.1418
38.7988,47.8842
41.4414,50.8537
44.3243,53.8233
47.6877,54.5657
50.5706,59.02
53.2132,61.9896
57.5375,65.7016
62.3423,67.9287
67.1471,73.1255
71.2312,76.8374
74.1141,77.5798
76.997,82.7765
80.3604,86.4885
84.4444,89.4581
87.5676,94.6548
92.3724,98.3667
95.7357,102.821
98.6186,105.048
102.703,110.987
106.306,113.215
109.67,118.411
112.072,120.638
114.474,122.866
116.877,126.578
119.76,131.032
0.12012,50.1114
1.8018,50.1114
3.48348,50.1114
4.44444,56.0505
5.16516,60.5048
5.88589,64.2168
9.00901,68.6711
10.9309,70.1559
12.8529,70.8983
15.2553,72.3831
17.8979,73.1255
20.5405,75.3526
22.2222,76.095
24.6246,78.3222
27.027,79.0646
30.1502,81.2918
33.994,84.2613
38.0781,87.2309
41.9219,91.6852
45.2853,93.9124
48.4084,96.1396
52.2523,98.3667
56.3363,102.079
60.9009,106.533
64.024,110.245
67.8679,113.957
71.4715,116.927
75.0751,122.123
79.6396,125.835
83.2432,131.774
86.8468,135.486
90.9309,138.456
93.3333,142.168
96.6967,145.88
99.8198,150.334
102.943,155.531
107.027,159.985
110.15,164.439
113.514,167.409
116.156,170.379
120,176.318
0.12012,99.8515
1.56156,99.1091
3.003,99.8515
3.96396,100.594
3.96396,108.018
4.2042,114.699
4.92492,120.638
5.64565,123.608
6.60661,125.835
8.04805,125.835
9.48949,128.062
11.8919,130.29
14.2943,131.774
16.4565,133.259
19.5796,135.486
22.4625,136.971
25.1051,138.456
27.988,139.198
30.8709,139.941
35.6757,142.168
40,145.137
42.4024,146.622
46.006,149.592
48.8889,152.561
51.7718,153.304
54.1742,156.273
56.0961,159.243
59.6997,160.728
63.0631,165.182
66.4264,168.151
69.0691,171.121
71.4715,174.091
74.3544,177.06
76.5165,180.03
78.9189,183.742
82.042,187.454
83.964,191.908
87.5676,194.135
90.4504,199.332
93.0931,203.786
96.9369,207.498
100.3,214.18
103.664,217.149
107.027,223.088
110.631,226.8
113.994,232.739
116.877,235.709
120,240.163
0.12012,151.076
3.24324,152.561
5.88589,151.819
6.36637,165.182
6.36637,171.863
6.36637,176.318
7.08709,181.514
8.04805,184.484
11.4114,188.196
13.5736,191.908
17.8979,195.62
20.7808,200.074
26.0661,203.786
28.4685,206.013
32.0721,208.241
35.6757,212.695
38.3183,214.18
41.4414,216.407
44.8048,220.119
48.6486,223.088
52.4925,226.8
55.3754,229.77
57.5375,231.997
60.1802,234.967
63.7838,240.163
67.3874,245.36
71.4715,249.072
74.3544,255.011
77.958,260.208
81.8018,263.92
85.1652,269.859
88.5285,273.571
92.3724,280.252
95.4955,286.192
98.6186,292.131
102.703,296.585
106.787,306.236
110.15,310.69
113.033,317.372
116.396,322.569
120.24,329.25
2.28228,200.817
3.96396,200.817
6.12613,200.817
6.36637,200.817
6.60661,212.695
7.32733,223.088
8.76877,228.285
9.96997,232.739
12.8529,237.194
15.4955,240.906
19.0991,243.875
21.2613,246.845
23.9039,250.557
27.027,255.011
30.6306,258.723
33.5135,263.92
37.8378,268.374
41.6817,272.086
44.8048,275.798
49.1291,278.768
51.5315,280.995
54.8949,285.449
58.979,286.934
62.3423,289.161
66.6667,291.388
70.5105,292.131
72.6727,296.585
77.958,304.009
81.8018,308.463
86.1261,315.145
89.97,319.599
92.8529,327.023
96.6967,332.962
100.541,340.386
105.105,346.325
108.709,353.749
113.273,361.173
116.637,367.854
119.76,372.309
1.32132,249.814
3.24324,249.814
5.64565,250.557
6.12613,260.208
6.12613,266.889
6.36637,273.571
7.80781,282.48
10.4505,286.192
13.0931,289.161
15.4955,294.358
17.8979,298.07
20.7808,301.782
23.6637,306.236
26.0661,309.206
28.9489,313.66
31.5916,318.857
34.2342,323.311
38.3183,329.25
42.6426,335.189
45.5255,339.644
49.1291,346.325
53.6937,352.264
57.5375,355.234
60.4204,360.431
64.5045,364.885
67.3874,369.339
72.4324,373.051
75.7958,375.278
78.1982,376.763
80.3604,378.248
82.2823,381.218
85.8859,390.126
90.6907,398.293
94.7748,406.459
97.8979,412.398
101.982,422.791
105.586,428.73
108.949,434.67
112.072,443.578
114.955,448.775
117.117,454.714
119.76,461.396
0.36036,301.039
1.8018,301.039
3.72372,301.782
4.44444,301.039
4.92492,310.69
5.40541,324.053
6.12613,332.22
7.56757,335.189
10.2102,338.901
12.6126,342.613
16.4565,346.325
19.0991,350.037
21.982,354.491
25.5856,356.719
29.1892,362.658
32.3123,367.854
36.1562,373.051
38.5586,376.763
43.1231,382.702
47.9279,389.384
51.2913,393.096
56.0961,402.747
60.9009,409.428
66.4264,416.852
70.03,420.564
74.3544,425.019
77.958,429.473
81.3213,432.442
84.6847,436.154
87.8078,439.124
91.4114,444.321
95.7357,452.487
100.541,460.653
104.144,468.82
107.748,474.016
110.631,479.955
114.474,486.637
117.357,491.091
120.24,497.03
