"M (emu)(T (K)), created by Plot Digitizer, 2.6.8"
"Date: 21/08/16, 14:13:41"


85
T (K),M (emu)
2.93840,3.63529e-06,
2.92720,4.38716e-06,
2.87496,7.89589e-06,
2.10072,9.64994e-06,
2.82646,1.11540e-05,
2.80220,1.27830e-05,
1.99251,1.69180e-05,
2.69959,1.96752e-05,
3.42160,2.14299e-05,
2.63989,2.36852e-05,
2.59325,2.68180e-05,
2.54101,3.03267e-05,
2.53168,3.09532e-05,
1.74998,3.32085e-05,
1.72572,3.48376e-05,
2.45519,3.60910e-05,
2.44587,3.67176e-05,
1.68655,3.74691e-05,
1.66602,3.88476e-05,
6.95141,3.55917e-05,
3.12683,4.12291e-05,
3.10444,4.27329e-05,
3.08019,4.43619e-05,
4.63614,4.03526e-05,
3.90667,3.90991e-05,
3.92346,3.79713e-05,
4.69024,3.67185e-05,
5.46822,3.47138e-05,
6.97193,3.42132e-05,
7.74990,3.22085e-05,
8.52601,3.03292e-05,
9.29653,2.88258e-05,
9.31145,2.78233e-05,
13.0969,2.48173e-05,
10.8264,2.65708e-05,
12.3301,2.60701e-05,
20.6098,2.26902e-05,
17.6024,2.36914e-05,
19.1024,2.34414e-05,
23.6061,2.24408e-05,
25.1098,2.19402e-05,
28.8504,2.19417e-05,
31.8485,2.15671e-05,
48.3147,2.10727e-05,
39.3316,2.14449e-05,
44.5685,2.14471e-05,
53.5553,2.08242e-05,
105.862,2.49814e-05,
63.2791,2.09536e-05,
67.7659,2.10808e-05,
74.4953,2.13342e-05,
78.9785,2.17121e-05,
85.7004,2.24667e-05,
93.1705,2.32217e-05,
97.6499,2.38502e-05,
102.133,2.42280e-05,
109.594,2.56095e-05,
111.833,2.59864e-05,
113.323,2.63630e-05,
115.564,2.66145e-05,
119.304,2.66161e-05,
123.795,2.64926e-05,
127.534,2.66195e-05,
131.274,2.66211e-05,
136.508,2.68739e-05,
141.745,2.68761e-05,
147.726,2.71292e-05,
157.446,2.75092e-05,
164.177,2.76373e-05,
172.405,2.77661e-05,
179.134,2.80195e-05,
186.613,2.81479e-05,
194.841,2.82767e-05,
200.822,2.85298e-05,
212.044,2.85345e-05,
221.018,2.87889e-05,
229.993,2.89179e-05,
238.223,2.89214e-05,
247.943,2.93014e-05,
258.417,2.93058e-05,
269.640,2.91851e-05,
278.616,2.93142e-05,
287.590,2.95686e-05,
294.323,2.95714e-05,
298.063,2.95729e-05,
