"m0Hc1 [mT](T [K]), created by Plot Digitizer, 2.6.8"
"Date: 24/03/14, 11:09:22"


8
T [K],m0Hc1 [mT]
1.69466,2.40000,
2,2.40000,
2.50382,2.11579,
2.99237,1.87368,
3.51145,1.65263,
4,1.42105,
4.50382,1.01053,
5.40458,0,
