"dI/dV (normalized)(Bias Voltage (mV)), created by Plot Digitizer, 2.6.8",
"Date: 22/12/20, 13:42:09",
,
,
565,
Bias Voltage (mV),dI/dV (normalized)
-2.81347,0.491477
-2.7513,0.497159
-2.7513,0.491477
-2.67358,0.497159
-2.68912,0.505682
-2.65803,0.505682
-2.62694,0.508523
-2.31606,0.511364
-2.33368,0.488636
-2.44041,0.5
-2.42487,0.502841
-2.40933,0.505682
-2.36269,0.528409
-2.33161,0.522727
-2.31606,0.522727
-2.23834,0.525568
-2.20725,0.525568
-2.17617,0.528409
-2.12953,0.534091
-2.03627,0.534091
-2.02073,0.53125
-1.97409,0.542614
-1.92746,0.551136
-1.86528,0.553977
-1.8342,0.565341
-1.81865,0.573864
-1.78756,0.585227
-1.75648,0.602273
-1.74093,0.616477
-1.72539,0.625
-1.70984,0.630682
-1.70984,0.639205
-1.67876,0.659091
-1.66321,0.670455
-1.61658,0.681818
-1.60104,0.690341
-1.60104,0.704545
-1.60104,0.71875
-1.56995,0.744318
-1.56995,0.755682
-1.56995,0.786932
-1.50777,0.744318
-1.52332,0.761364
-1.50777,0.786932
-1.49223,0.792614
-1.49223,0.803977
-1.49223,0.815341
-1.49223,0.832386
-1.46114,0.838068
-1.43005,0.846591
-1.38342,0.846591
-1.33679,0.823864
-1.33679,0.806818
-1.33679,0.798295
-1.29016,0.792614
-1.25907,0.764205
-1.25907,0.681818
-1.07254,0.491477
-1.05699,0.465909
-1.19689,0.670455
-1.15026,0.636364
-1.14352,0.642045
-1.1658,0.605114
-1.13472,0.522727
-1.1658,0.565341
-1.1658,0.542614
-1.11917,0.488636
-1.05699,0.431818
-1.04145,0.397727
-1.04145,0.383523
-1.01036,0.346591
-1.01036,0.340909
-1.02591,0.329545
-1.02591,0.303977
-0.994819,0.289773
-0.994819,0.278409
-0.979275,0.25
-0.932642,0.230114
-0.80829,0.136364
-0.88601,0.15625
-0.854922,0.119318
-0.80829,0.105114
-0.803834,0.09375
-0.792746,0.0823864
-0.777202,0.0653409
-0.746114,0.0596591
-0.715026,0.0426136
-0.683938,0.0369318
-0.57513,0.0255682
-0.497409,0.0255682
-0.466321,0.03125
-0.435233,0.03125
-0.404145,0.03125
-0.373057,0.03125
-0.326425,0.0369318
-0.279793,0.0397727
-0.248705,0.0397727
-0.202073,0.0482955
-0.139896,0.0482955
-0.124352,0.0511364
-0.0466321,0.0539773
0,0.0426136
0.0777202,0.0340909
0.124352,0.0227273
0.15544,0.0227273
0.217617,0.0198864
0.295337,0.0198864
0.357513,0.0198864
0.419689,0.0198864
0.466321,0.03125
0.497409,0.0227273
0.637306,0.03125
0.606218,0.0482955
0.715026,0.0681818
0.715026,0.0795455
0.73057,0.105114
0.761658,0.122159
0.792746,0.144886
0.792746,0.161932
0.823834,0.173295
0.839378,0.181818
0.88601,0.241477
0.854922,0.255682
0.932642,0.321023
0.932642,0.346591
0.963731,0.355114
0.979275,0.40625
0.979275,0.414773
0.979275,0.426136
1.01036,0.451705
1.02591,0.474432
1.02591,0.494318
1.04145,0.517045
1.07254,0.545455
1.07254,0.5625
1.07254,0.579545
1.08808,0.605114
1.11917,0.622159
1.11917,0.647727
1.11917,0.673295
1.11917,0.681818
1.15026,0.710227
1.15026,0.735795
1.15026,0.752841
1.18135,0.761364
1.22798,0.789773
1.3057,0.801136
1.3057,0.809659
1.35233,0.789773
1.41451,0.772727
1.43005,0.761364
1.47668,0.744318
1.47668,0.730114
1.47668,0.721591
1.53886,0.707386
1.53886,0.690341
1.60104,0.690341
1.60104,0.678977
1.60104,0.664773
1.64767,0.659091
