"LD (%)(Distance), created by Plot Digitizer, 2.6.8",
"Date: 22/01/18, 14:24:55",
,
,
609,
Distance,LD (%)
65K,153
153.058,-0.013296
191.512,-0.0113336
224.531,-0.0080468
257.525,-0.00542079
263.104,-0.00278048
285.298,0.0044768
312.999,0.012392
324.108,0.016351
340.677,0.0196464
357.198,0.0216202
384.757,0.0255707
412.245,0.0275388
445.311,0.0321471
461.642,0.0288346
505.437,0.0268293
570.976,0.0195263
592.624,0.0115853
641.855,0.00825562
652.584,0.00164197
674.256,-0.00563819
690.73,-0.00498598
717.98,-0.00962584
843.788,-0.0182819
887.559,-0.020948
937.099,-0.0156874
975.624,-0.0117427
1463.88,-0.00538932
1025.24,-0.00449969
1041.83,-0.000543509
1052.89,0.00209394
1064.12,0.00935694
1097.14,0.0126437
1113.73,0.0165999
1146.72,0.0192259
1179.84,0.0251559
1229.21,0.0257909
1294.94,0.0237742
1360.62,0.020436
1393.35,0.0157932
1404.13,0.0105012
1409.38,0.00389038
1425.66,-0.00074375
1458.32,-0.00736884
1545.77,-0.0153441
1589.4,-0.0219749
1644.11,-0.0253075
1693.37,-0.0279764
1720.67,-0.0312947
1753.83,-0.0240431
1814.64,-0.010198
1831.26,-0.00558098
1847.9,-0.000303221
1875.5,0.00496882
1897.58,0.00892214
1925.11,0.0122118
1963.66,0.0168173
1991.29,0.0227502
2046.2,0.0247039
2073.47,0.0207249
2106.23,0.0167429
2166.45,0.0140683
2204.69,0.0100835
2226.36,0.00280336
2259,-0.00448252
2269.87,-0.00713141
2302.63,-0.0111133
2401.05,-0.0190943
2593.25,-0.0112649
2626.31,-0.00665656
2653.92,-0.00138452
2681.48,0.00256594
2692.61,0.00718577
2725.68,0.0117942
2786.06,0.0137451
2835.46,0.0150409
2917.4,0.00640769
2933.66,0.00111276
2960.91,-0.00352709
3004.56,-0.00949711
3064.93,-0.00820699
3136.14,-0.0102266
3256.54,-0.0168974
3443.8,0.00613307
3482.56,0.0166857
3542.9,0.0173151
3581.26,0.0166342
3619.5,0.0126495
3630.3,0.00801819
3690.43,0.00270038
3717.75,4.29E-05
3756.11,-0.000637908
,
98K,72
49.5871,0.00658218
60.3875,0.00195091
170.172,0.00519767
230.489,0.0051662
263.388,0.00514904
290.852,0.00645632
329.33,0.00907947
378.87,0.0143401
422.95,0.0202643
461.381,0.0215659
527.18,0.0215316
549.019,0.0188769
614.723,0.0161994
641.974,0.0115596
680.072,0.00361005
712.782,-0.00169346
772.98,-0.00502889
811.244,-0.00835288
865.958,-0.0116855
909.896,-0.00972596
1003.33,-0.00382745
1041.83,-0.000543509
1085.86,0.00405916
1129.77,0.00535786
1151.75,0.006668
1184.75,0.00929401
1206.8,0.0125865
1217.86,0.015224
1229.02,0.0205046
1272.89,0.0204817
1305.74,0.019143
1365.91,0.0151467
1409.56,0.00917673
1436.79,0.00387608
1513.08,-0.00937983
1545.79,-0.0146833
1584.08,-0.0173465
1699.14,-0.0200498
1743.17,-0.0154471
1776.19,-0.0121603
1792.8,-0.00754334
1831.38,-0.00227702
1902.75,0.000328966
1990.37,-0.00302077
2138.16,-0.0103667
2209.27,-0.0150295
2242.17,-0.0150466
2285.85,-0.0203559
2313.05,-0.0263173
2340.44,-0.0269924
2428.3,-0.0237342
2516.29,-0.0165112
2543.73,-0.0158648
2609.7,-0.0112735
2648.1,-0.0106328
2746.94,-0.00671949
2785.4,-0.00475714
2834.75,-0.00478288
2889.39,-0.0100978
2911.16,-0.0147348
2954.88,-0.0187225
2998.63,-0.0220493
3042.57,-0.0200898
3092.13,-0.0141684
3223.75,-0.0135763
3388.25,-0.0136621
3492.7,-0.00644774
3503.83,-0.00182791
3542.47,0.00542079
3706.71,-0.00193375
3745,-0.00459694
3761.36,-0.0072487
,
105K,65
43.8902,0.000637908
43.4392,-0.0119172
98.2722,-0.0119458
131.267,-0.00931976
191.726,-0.00538646
241.123,-0.00409062
263.222,0.000523485
279.791,0.00381887
351.311,0.0103896
417.135,0.0110161
460.882,0.00768923
493.711,0.00568968
542.894,0.00103839
553.766,-0.0016105
570.05,-0.00624464
619.281,-0.00957435
701.269,-0.016886
794.675,-0.0116483
844.144,-0.00837004
931.9,-0.00775502
970.426,-0.00381029
1036.3,-0.00186223
1080.26,0.000758053
1140.67,0.00336976
1223.11,0.00861319
1256.06,0.00991761
1321.78,0.00790091
1343.69,0.00722867
1392.83,0.00125579
1431.12,-0.0014074
1513.2,-0.00607586
1535.11,-0.0067481
1573.35,-0.0107329
1606.25,-0.01075
1671.96,-0.0134275
1710.43,-0.0108044
1792.87,-0.00556096
1897.25,-0.000328966
1946.67,0.00162767
1985.12,0.00359002
2034.38,0.000921105
2050.76,-0.00106986
