"a [A](Sb concentration y), created by Plot Digitizer, 2.6.8",
"Date: 23/09/28, 13:32:27",
,
,
10,
Sb concentration y,a [A]
0.0199029,4.03362
0.0393204,4.09783
0.0592233,4.02234
0.0796117,4.08915
0.0990291,4.03709
0.119417,4.02581
0.13932,4.04751
0.159709,4.00846
0.179612,4.02061
0.2,4.00672
,
10,
Sb concentration y,c [A]
0.0199029,13.3843
0.0398058,13.3857
0.0601942,13.3843
0.0800971,13.3848
0.1,13.3822
0.119903,13.3839
0.140291,13.3843
0.160194,13.3848
0.180097,13.3848
0.200485,13.3857
