"Cp/T [Jmol-1K-2](T [K]), created by Plot Digitizer, 2.6.8",
"Date: 24/03/13, 11:25:48",
,
,
25,
T [K],Cp/T [Jmol-1K-2]
4.96175,20
5.1694,21.6667
5.36612,23.7179
5.56284,25.641
5.78142,27.8205
5.95628,29.7436
6.16393,31.5385
6.22951,32.6923
6.38251,33.8462
6.43716,34.7436
6.55738,36.0256
6.64481,36.9231
6.76503,38.4615
6.8306,39.359
6.98361,40.641
7.03825,40.8974
7.18033,35
7.22404,30
7.30055,29.4872
7.37705,29.7436
7.40984,30.3846
7.5847,31.0256
7.62842,31.5385
7.77049,32.3077
7.97814,34.1026
