"R  (kW)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/12/08, 10:32:44",
,
,
175,
T (K),R  (kW)
0.0757428,2.0617
0.0967396,2.0638
0.115637,2.0567
0.168151,2.337
0.180771,2.6323
0.199712,3.2252
0.218642,3.6681
0.231317,4.7134
0.248214,6.0571
0.263033,7.7016
0.275785,9.7969
0.288571,12.342
0.299268,15.038
0.307832,17.285
0.318529,19.981
0.325004,22.379
0.331424,24.026
0.342121,26.722
0.352774,28.819
0.363371,30.165
0.373936,31.061
0.3866,31.956
0.403453,32.7
0.428682,33.014
0.458132,33.279
0.485428,33.469
0.525322,33.654
0.573637,33.836
0.613542,33.971
0.649225,34.05
0.68282,34.075
0.708016,34.085
0.739512,34.11
0.764686,34.115
0.791982,34.12
0.092452,0.84535
0.123947,0.85054
0.155442,0.85173
0.178539,0.85307
0.191148,0.97835
0.214278,1.4197
0.235296,1.7118
0.254249,2.4547
0.269001,3.1992
0.279588,4.3953
0.294407,6.0398
0.307115,7.535
0.315635,9.1819
0.326288,11.278
0.334775,12.475
0.341195,14.122
0.349715,15.769
0.354036,16.518
0.36249,17.865
0.379342,18.908
0.398327,19.501
0.425667,19.891
0.452996,20.131
0.492879,20.166
0.528596,20.352
0.562191,20.44
0.593675,20.508
0.656665,20.554
0.709135,20.735
0.757428,20.716
0.797322,20.702
0.10712,0.40984
0.1428,0.24646
0.18689,0.22992
0.2142,0.36968
0.24151,0.50945
0.26045,1.1024
0.27729,1.6961
0.29418,2.8898
0.31316,4.0827
0.32587,5.578
0.33437,6.9248
0.34495,8.1209
0.35764,9.3161
0.36612,10.363
0.37875,10.808
0.3907,11.551
0.3935,11.553
0.42713,11.99
0.45862,11.978
0.48173,12.02
0.51533,12.057
0.5489,12.075
0.58043,12.093
0.6245,12.1
0.6602,12.113
0.7022,12.137
0.73577,12.144
0.7736,12.16
0.79669,12.162
0.13649,0.068819
0.163775,0.061417
0.205769,0.077165
0.233064,0.087402
0.256183,0.20394
0.281379,0.29449
0.2898,0.49134
0.30873,0.93425
0.321361,1.3795
0.329815,2.1264
0.344557,2.7209
0.359332,3.7654
0.376162,4.2091
0.39717,4.3512
0.426588,4.3502
0.460183,4.376
0.493766,4.465
0.53786,4.4484
0.577765,4.4835
0.60926,4.517
0.640766,4.5198
0.674361,4.6072
0.697457,4.6186
0.726842,4.6276
0.762536,4.632
0.791954,4.6532
0.0777102,0.09087
0.0903083,0.09084
0.111305,0.0927
0.128091,0.0997
0.188993,0.10913
0.218389,0.12811
0.260382,0.1736
0.291878,0.19055
0.306586,0.33504
0.315007,0.63189
0.325561,1.3779
0.340291,1.8224
0.357133,2.4161
0.388639,2.5343
0.407536,2.5472
0.430644,2.6186
0.45584,2.6591
0.470538,2.6736
0.508343,2.7594
0.546137,2.7953
0.581832,2.7819
0.619637,2.8277
0.646933,2.8375
0.682627,2.8541
0.720422,2.8799
0.747728,2.8897
0.772914,2.8902
0.7897,2.70394
0.0818985,0.091929
0.205758,0.09716
0.26246,0.098425
0.293966,0.09964
0.314985,0.33189
0.336026,0.92402
0.352889,1.8177
0.361321,2.0646
0.390706,2.1035
0.418013,2.1433
0.451607,2.2007
0.464206,2.226
0.489402,2.2295
0.51041,2.2357
0.531406,2.238
0.552403,2.239
0.5755,2.2404
0.609095,2.2417
0.632191,2.243
0.657387,2.2435
0.680495,2.2449
0.716189,2.2465
0.735075,2.2474
0.762371,2.2482
0.781268,2.2507
0.795966,2.2516
