"Hc1 (Oe)(T (K)), created by Plot Digitizer, 2.6.8"
"Date: 22/02/10, 10:49:02"


10
T (K),Hc1 (Oe)
0.387931,9.60256,
0.419761,8.12179,
0.457560,7.49359,
0.499337,6.86538,
0.537135,6.10256,
0.578912,5.25000,
0.618700,4.48718,
0.660477,3.50000,
0.698276,2.64744,
0.740053,1.61538,
