---------			
FIGNO:OPH1003			
XPROP:P			
XUNIT:MPa			
"YPROP:T(n-m), Tc, T(s-n)"			
YUNIT:K			
"PPROP:1 T(n-m) nonmetal to metal, 2  Tc (SC), 3  T(s-n) SC to nonmetal"			
PUNIT:			
---------			
xdata	ydata	pdata	number
34.4	33.8	1	
32.7	31.7	1	
32.1	29.89	1	
32.7	28.07	1	
33.7	26.26	1	
35.3	23.88	1
38.4	19.13	1
40.8	16.34	1
42.2	14.66	1
43.9	13.27	1
11.5	12.01	2
16.6	12.15	2
23.2	12.29	2
26.1	12.71	2
31.3	12.99	2
37.6	13.13	2
42	13.13	2
47.9	13.13	2
18.9	0.56	3
18.7	2.09	3
19.7	3.77	3
21.5	4.75	3
25.8	6.15	3
30.9	6.84	3
35.6	7.26	3
40.4	7.12	3
44	7.26	3
48.6	7.26	3
34.4	11.59	
34.1	8.94	
43.3	12.01	
43.3	8.8	
