"Bz ÅiG)(Distance (ÇçÇç)), created by Plot Digitizer, 2.6.8"
"Date: 22/02/08, 10:54:34"


62
Distance (ÇçÇç),Bz ÅiG)
-1,1.34742,
-0.807018,1.84038,
-0.706140,2.49765,
-0.609649,3.58216,
-0.513158,4.40376,
-0.403509,5.02817,
-0.302632,5.71831,
-0.210526,6.30986,
-0.109649,6.93427,
-0.00877193,7,
0.0877193,6.70423,
0.192982,6.17840,
0.293860,5.75117,
0.394737,4.37089,
0.491228,3.81221,
0.596491,2.82629,
0.697368,1.57746,
0.793860,1.31455,
0.899123,1.21596,
1,1.08451,
-1.00877,0.394366,
-0.925439,0.920188,
-0.824561,1.44601,
-0.732456,1.67606,
-0.627193,2.26761,
-0.526316,3.15493,
-0.438596,4.00939,
-0.328947,5.02817,
-0.236842,6.40845,
-0.144737,7.06573,
-0.0394737,7.46009,
0.0570175,7.03286,
0.157895,6.70423,
0.258772,5.91549,
0.355263,4.60094,
0.460526,3.64789,
0.543860,2.95775,
0.649123,2.33333,
0.745614,1.77465,
0.842105,1.38028,
0.947368,1.34742,
-1.00439,1.18310,
-0.916667,1.77465,
-0.820175,2.53052,
-0.723684,3.25352,
-0.618421,4.69953,
-0.517544,6.01408,
-0.421053,7.95305,
-0.320175,10.0563,
-0.214912,11.9953,
-0.122807,13.4742,
-0.0263158,13.6714,
0.0745614,12.2254,
0.171053,10.3850,
0.267544,8.28169,
0.377193,6.47418,
0.469298,4.76526,
0.574561,3.61502,
0.671053,2.53052,
0.767544,1.87324,
0.868421,1.47887,
0.964912,0.887324,
