"r(T)/r(RT)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/09/09, 9:15:39",
,
,
176,
T (K),r(T)/r(RT)
10.3027,0.0157406
10.3445,0.0685111
10.4552,0.208353
9.83904,0.429996
9.89961,0.506513
13.1118,0.564532
20.2399,0.569747
29.7552,0.590771
42.4368,0.611768
55.9224,0.648589
67.8165,0.67487
79.7128,0.703789
91.6069,0.73007
102.71,0.756358
115.391,0.777355
126.489,0.798365
138.379,0.819369
149.476,0.837741
165.321,0.856072
174.037,0.866549
184.342,0.884928
195.43,0.892747
206.528,0.913757
219.201,0.9242
227.917,0.934677
241.381,0.945113
250.884,0.950307
258.021,0.966075
269.9,0.973886
277.822,0.981732
286.531,0.984294
10.2923,0.00254802
11.0963,0.0183722
9.53203,0.0421328
11.5203,0.553992
10.075,0.728149
10.877,0.741334
15.6284,0.743931
21.1714,0.746521
33.8446,0.756964
48.8966,0.772662
59.9929,0.791035
71.8766,0.804123
84.5581,0.82512
95.6482,0.835576
109.121,0.856566
118.626,0.864398
130.508,0.874848
142.394,0.890574
104.288,0.751067
166.948,0.911467
177.245,0.919292
188.333,0.92711
197.838,0.934942
210.515,0.950662
222.392,0.955834
234.272,0.963645
242.983,0.968846
252.488,0.976678
264.368,0.984489
273.077,0.987051
286.539,0.994848
9.49653,-0.00272206
9.74088,0.305985
8.46062,0.688585
12.4246,0.696465
18.7612,0.701687
23.5084,0.699007
28.2619,0.704242
40.1436,0.714691
52.8293,0.740965
64.7192,0.761969
76.6113,0.785611
89.2907,0.80397
100.385,0.819703
113.071,0.845977
124.163,0.859072
136.84,0.874792
147.139,0.885256
158.231,0.898351
168.525,0.903537
179.615,0.913994
195.453,0.92177
214.462,0.937434
223.971,0.950543
235.849,0.955716
246.141,0.958264
261.185,0.963409
278.611,0.979087
7.12605,0.00257587
8.87832,0.216282
9.15401,0.564567
16.2821,0.569782
19.4546,0.577669
22.6208,0.577641
31.3342,0.58548
47.1819,0.606449
57.4992,0.64066
69.3954,0.669579
79.7086,0.698512
90.8091,0.722161
114.595,0.772085
126.487,0.795727
137.582,0.81146
149.474,0.835103
163.732,0.84817
180.376,0.874409
192.265,0.895413
208.899,0.908459
222.367,0.924172
231.876,0.937281
242.173,0.945106
250.097,0.955591
261.976,0.963402
265.938,0.968644
295.247,0.994772
3.16829,0.00261068
4.23553,0.350889
6.04419,0.635835
14.7533,0.638397
20.2942,0.638348
30.5865,0.640896
40.0955,0.654005
51.9855,0.675009
65.4607,0.698638
76.5674,0.730202
89.2469,0.748561
102.718,0.766912
113.029,0.793207
125.71,0.814203
134.424,0.822042
146.314,0.843046
158.997,0.866682
171.666,0.871847
181.975,0.895503
196.232,0.905932
207.324,0.919027
218.414,0.929484
235.84,0.945162
252.474,0.958208
261.187,0.966047
274.652,0.976483
292.868,0.989516
3.19336,0.0342729
4.79108,0.0527287
4.16661,0.263817
5.03961,0.366713
4.29192,0.422129
5.88964,0.440585
11.4305,0.440536
17.7713,0.451034
28.0719,0.464136
39.9702,0.495694
51.0874,0.540452
66.1624,0.585174
78.0628,0.619371
88.3843,0.658858
100.281,0.687777
112.97,0.719328
124.075,0.748254
135.965,0.769258
147.064,0.790269
159.745,0.811266
169.258,0.829652
182.729,0.848003
193.032,0.863744
203.333,0.876846
216.01,0.892565
225.519,0.905675
236.611,0.91877
246.912,0.931872
258.006,0.947605
268.302,0.955431
276.228,0.968554
284.944,0.979031
289.697,0.984266
