"dI/dV (normalized)(Sample bias (mV)), created by Plot Digitizer, 2.6.8",
"Date: 22/10/14, 8:21:42",
,
,
498,
Sample bias (mV),dI/dV (normalized)
-2.91797,0.674938
-2.85938,0.682382
-2.84766,0.699752
-2.77734,0.687345
-2.71328,0.68335
-2.67188,0.682382
-2.625,0.682382
-2.57813,0.684864
-2.55469,0.669975
-2.55469,0.669975
-2.51953,0.66005
-2.50781,0.652605
-2.48438,0.652605
-2.41406,0.657568
-2.39063,0.657568
-2.33203,0.667494
-2.32031,0.657568
-2.28516,0.650124
-2.19141,0.645161
-2.16797,0.662531
-2.13281,0.662531
-2.12109,0.655087
-2.01563,0.640199
-1.96875,0.620347
-1.94531,0.665012
-1.89844,0.669975
-1.88672,0.674938
-1.875,0.687345
-1.82813,0.704715
-1.82813,0.707196
-1.80469,0.704715
-1.72266,0.719603
-1.6875,0.729529
-1.66406,0.746898
-1.64063,0.759305
-1.60547,0.774194
-1.58203,0.784119
-1.53516,0.789082
-1.47656,0.796526
-1.46484,0.80397
-1.38281,0.811414
-1.34766,0.808933
-1.3125,0.789082
-1.3125,0.769231
-1.27734,0.756824
-1.24219,0.734491
-1.23047,0.719603
-1.21875,0.684864
-1.23047,0.677419
-1.20266,0.648338
-1.17188,0.632754
-1.17188,0.598015
-1.13672,0.578164
-1.10156,0.526055
-1.11328,0.503722
-1.07813,0.488834
-1.07094,0.459727
-1.06641,0.434243
-1.04297,0.404467
-1.03125,0.384615
-0.996094,0.349876
-0.949219,0.310174
-0.914063,0.292804
-0.890625,0.277916
-0.796875,0.163772
-0.867188,0.248139
-0.867188,0.225806
-0.832031,0.191067
-0.820313,0.176179
-0.796875,0.143921
-0.726563,0.114144
-0.691406,0.0818859
-0.632813,0.044665
-0.328125,0.0124069
-0.492188,0.0223325
-0.433594,0.0173697
-0.234375,0.00496278
0.00703125,0.00325558
0.0117188,0.00496278
0.164063,0.00992556
0.304688,0.0148883
0.421875,0.0198511
0.503906,0.0198511
0.550781,0.0248139
0.574219,0.0372208
0.632813,0.0545906
0.65625,0.0818859
0.726563,0.131514
0.75,0.146402
0.75,0.166253
0.890625,0.35732
0.796875,0.208437
0.796875,0.225806
0.832031,0.253102
0.855469,0.26799
0.902344,0.310174
0.960938,0.322581
0.972656,0.349876
1.00781,0.372208
1.03125,0.411911
1.05469,0.454094
1.07813,0.503722
1.10156,0.531017
1.17188,0.868486
1.125,0.575682
1.125,0.602978
1.12891,0.656824
1.17188,0.650124
1.20703,0.677419
1.20703,0.69727
1.20703,0.709677
1.23047,0.717122
1.23047,0.741935
1.28906,0.776675
1.30078,0.794045
1.32422,0.816377
1.39453,0.82134
1.46484,0.811414
1.42969,0.799007
1.47656,0.7866
1.50156,0.776675
1.53516,0.766749
1.55859,0.751861
1.57031,0.739454
1.62891,0.727047
1.62891,0.712159
1.66406,0.699752
1.69922,0.677419
1.74609,0.665012
1.79297,0.652605
1.81641,0.640199
2.12109,0.590571
2.0625,0.558313
1.92188,0.60794
1.95703,0.617866
2.01563,0.60794
2.10938,0.593052
2.12109,0.578164
2.49609,0.555831
2.23828,0.560794
2.32031,0.55335
2.39063,0.555831
2.47266,0.545906
2.53203,0.548164
2.625,0.538462
2.67188,0.545906
2.73047,0.550869
2.78906,0.545906
2.88281,0.538462
2.91797,0.533499
2.97656,0.548387
-2.96484,0.555831
-2.90625,0.563275
-2.82422,0.568238
-2.74219,0.568238
-2.70703,0.568238
-2.58984,0.575682
-2.49609,0.573201
-2.49609,0.580645
-2.40922,0.582829
-2.30859,0.598015
-2.26172,0.602978
-2.20313,0.602978
-2.12109,0.598015
-2.07422,0.605459
-2.00391,0.620347
-1.94531,0.645161
-1.875,0.655087
-1.80469,0.665012
-1.75781,0.687345
-1.75781,0.699752
-1.69922,0.712159
-1.64063,0.719603
-1.60547,0.741935
-1.59375,0.756824
-1.52344,0.774194
-1.5,0.82134
-1.5,0.836228
-1.47656,0.853598
-1.44141,0.863524
-1.41797,0.870968
-1.41797,0.885856
-1.38281,0.898263
-1.35938,0.908189
-1.30078,0.913151
-1.25391,0.905707
-1.21875,0.885856
-1.21875,0.866005
-1.20703,0.851117
-1.20703,0.833747
-1.16016,0.806452
-1.16016,0.754342
-1.13672,0.739454
-1.125,0.717122
-1.125,0.692308
-1.10156,0.674938
-1.10156,0.657568
-1.10156,0.640199
-1.07813,0.617866
-1.06219,0.609975
-1.05469,0.588089
-1.05469,0.57072
-1.05469,0.531017
-1.05469,0.516129
-1.03125,0.488834
-0.925781,0.424318
-0.960938,0.434243
-0.855469,0.404467
-0.9375,0.401985
-0.9375,0.382134
-0.925781,0.367246
-0.914063,0.347395
-0.905234,0.326129
-0.902344,0.317618
-0.890625,0.312655
-0.84375,0.28536
-0.855469,0.275434
-0.855469,0.270471
-0.84375,0.258065
-0.832031,0.245658
-0.808594,0.223325
-0.773438,0.208437
-0.773438,0.191067
-0.714844,0.17866
-0.714844,0.156328
-0.691406,0.138958
-0.644531,0.136476
-0.644531,0.121588
-0.585938,0.104218
-0.550781,0.0942928
-0.515625,0.0868486
-0.480469,0.0744417
-0.46875,0.0669975
-0.375,0.0471464
-0.351563,0.0397022
-0.292969,0.0297767
-0.234375,0.0272953
-0.128906,0.0223325
-0.0703125,0.0272953
0.0117188,0.0272953
0.0820313,0.0272953
0.140625,0.0272953
0.234375,0.0272953
0.292969,0.0397022
0.304688,0.044665
0.375,0.0521092
0.480469,0.08933
0.527344,0.104218
0.609375,0.121588
0.644531,0.141439
0.691406,0.158809
0.714844,0.17866
0.773438,0.200993
0.773438,0.223325
0.832031,0.243176
0.832031,0.265509
0.84375,0.290323
0.878906,0.305211
0.878906,0.322581
0.909375,0.373945
0.9375,0.42928
0.972656,0.456576
0.960938,0.48139
1.00781,0.506203
1.04297,0.55335
1.01953,0.575682
1.04297,0.600496
1.04297,0.62531
1.05469,0.665012
1.08984,0.692308
1.07813,0.717122
1.10156,0.739454
1.125,0.771712
1.14844,0.806452
1.17188,0.843672
1.18359,0.888337
1.20766,0.908189
1.24219,0.915633
1.30078,0.92804
1.38281,0.880893
1.40156,0.852754
1.41797,0.843672
1.45313,0.833747
1.46344,0.789082
1.48828,0.781638
1.58203,0.756824
1.57031,0.736973
1.62891,0.727047
1.62891,0.709677
1.69922,0.682382
1.74609,0.669975
1.74609,0.657568
1.81641,0.647643
1.85156,0.62531
1.91016,0.617866
1.94531,0.605459
2.02734,0.602978
2.05078,0.590571
2.21484,0.578164
2.30859,0.573201
2.37891,0.555831
2.56641,0.545906
2.70703,0.543424
2.8125,0.543424
2.92969,0.550869
-2.96484,0.595533
-2.96484,0.573201
-2.85938,0.568238
-2.77734,0.588089
-2.76563,0.578164
-2.67188,0.578164
-2.64844,0.595533
-2.64844,0.602978
-2.4375,0.563275
-2.55469,0.578164
-2.44922,0.585608
-2.42578,0.595533
-2.37891,0.598015
-2.34375,0.558313
-2.32031,0.595533
-2.22656,0.600496
-2.22656,0.593052
-2.14453,0.573201
-2.16797,0.585608
-2.15625,0.598015
-2.10938,0.610422
-2.0625,0.622829
-2.03906,0.600496
-2.00391,0.588089
-1.95703,0.593052
-1.92188,0.588089
-1.92188,0.600496
-1.89844,0.615385
-1.82813,0.62531
-1.80469,0.635236
-1.75781,0.620347
-1.74609,0.62531
-1.61719,0.630273
-1.61744,0.662531
-1.61719,0.652605
-1.62891,0.662531
-1.60547,0.669975
-1.46484,0.652605
-1.48828,0.64268
-1.45422,0.667494
-1.44141,0.674938
-1.35938,0.694789
-1.27734,0.652605
-1.23047,0.655087
-1.19531,0.645161
-1.14844,0.627792
-1.10156,0.60794
-1.07813,0.595533
-1.07813,0.578164
-1.03125,0.563275
-1.03125,0.540943
-1.03125,0.523573
-0.949219,0.506203
-0.972656,0.473945
-0.949219,0.456576
-0.914063,0.409429
-0.867188,0.37469
-0.855469,0.35732
-0.855469,0.33995
-0.820313,0.332506
-0.820313,0.315136
-0.773438,0.305211
-0.75,0.28536
-0.738281,0.248139
-0.714844,0.245658
-0.679688,0.238213
-0.65625,0.220844
-0.65625,0.200993
-0.621094,0.188586
-0.621094,0.17866
-0.621094,0.173697
-0.550781,0.17866
-0.5425,0.186104
-0.527344,0.173697
-0.503906,0.158809
-0.457031,0.158809
-0.386719,0.17866
-0.386719,0.181141
-0.386719,0.208437
-0.351563,0.233251
-0.351563,0.253102
-0.328125,0.290323
-0.28125,0.310174
-0.269531,0.334988
-0.257813,0.369727
-0.246094,0.387097
-0.210938,0.411911
-0.210938,0.434243
-0.1875,0.46402
-0.175781,0.486352
-0.175781,0.501241
-0.128906,0.545906
-0.114063,0.57072
-0.105469,0.590571
-0.0820313,0.617866
-0.0820313,0.645161
0.00226562,0.688834
0.0117188,0.66005
0.046875,0.650124
0.0585938,0.640199
0.117188,0.598015
0.164063,0.57072
0.167187,0.543424
0.175781,0.523573
0.190938,0.459057
0.199219,0.424318
0.222656,0.39206
0.222656,0.377171
0.234375,0.362283
0.257031,0.358809
0.28125,0.332506
0.304688,0.317618
0.304688,0.300248
0.316406,0.282878
0.321562,0.253102
0.339844,0.233251
0.339844,0.225806
0.351563,0.210918
0.375,0.198511
0.386719,0.181141
0.410156,0.171216
0.492188,0.171216
0.50625,0.184615
0.574219,0.183623
0.574219,0.171216
