"Temperature (K)(Sulfer content x), created by Plot Digitizer, 2.6.8"
"Date: 21/12/06, 10:19:36"


18
Sulfer content x,Temperature (K)
-6.93889e-18,8.75000,
0.0401235,9.68750,
0.0802469,10.3125,
0.120370,9.37500,
0.150000,7.50000,
0.170988,7.18750,
0.209259,5.62500,
-6.93889e-18,30.9375,
0.0796296,20.6250,
0.119753,14.6875,
0.169136,-0.312500,
0.209259,-31.2500,
-6.93889e-18,87.8125,
0.0401235,81.5625,
0.0802469,75.9375,
0.120988,60,
0.150000,45,
0.169136,0,
