"T (K)(X), created by Plot Digitizer, 2.6.8"
"Date: 22/06/30, 11:28:47"


8
X,T (K)
0,36.7832,
0.250000,36.5035,
0.500000,36.5035,
0.750000,35.9441,
1,35.2448,
0,15.1049,
0.250000,12.0280,
0.500000,5.03497,
