"Resistivity (mWcm)(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/03/11, 9:38:27",
,
,
427,
Temperature (K),Resistivity (mWcm)
7.84232,0.0360314
12.0795,0.0360087
15.474,0.0367922
20.5681,0.0383683
23.1152,0.0391563
27.3667,0.0415384
31.6135,0.043119
34.1605,0.043907
39.2595,0.0462847
43.511,0.0486668
46.0629,0.0502564
49.4622,0.0518415
52.8711,0.0550298
57.1226,0.057412
58.8318,0.0598078
63.9307,0.0621854
66.4922,0.0653782
68.2014,0.067774
71.6007,0.0693591
74.1621,0.0725519
76.7188,0.0749431
80.999,0.0821349
86.9741,0.0893176
90.3926,0.0941091
94.6633,0.0996977
97.2391,0.105295
101.515,0.111686
104.943,0.11808
106.661,0.122079
110.089,0.128474
112.68,0.136476
115.279,0.146082
117.865,0.153283
119.588,0.158083
121.321,0.164487
124.764,0.173287
126.502,0.180492
126.55,0.188508
128.292,0.196515
130.873,0.202914
131.768,0.210926
132.664,0.218937
133.554,0.226147
134.445,0.233357
136.187,0.241364
137.944,0.251776
137.992,0.259792
138.868,0.264597
138.897,0.269407
139.788,0.276617
144.03,0.277395
149.119,0.27817
153.356,0.278147
158.45,0.279723
163.54,0.280498
169.481,0.282069
173.728,0.28365
178.822,0.285226
185.611,0.286793
193.252,0.289157
199.204,0.292332
206.85,0.295497
213.639,0.297064
219.585,0.299437
226.388,0.303409
231.487,0.305787
236.582,0.307363
241.68,0.30974
251.026,0.313699
255.287,0.317684
260.386,0.320062
264.638,0.322444
269.737,0.324821
275.683,0.327195
280.787,0.330374
287.581,0.332742
290.132,0.334332
296.079,0.336705
300,0.339087
4.73987,0.0841457
9.82445,0.0841185
14.0616,0.0840959
19.151,0.0848703
25.0926,0.0864418
28.4823,0.0864237
30.1915,0.0888194
35.2905,0.0911971
38.6898,0.0927822
45.5075,0.0991588
52.3205,0.104734
54.8819,0.107927
56.6007,0.111926
59.1478,0.112714
61.7092,0.115906
64.2611,0.117496
65.1277,0.120698
67.6891,0.123891
69.4079,0.12789
71.9694,0.131083
75.3734,0.133469
77.0875,0.136667
79.6633,0.142264
82.2295,0.146259
84.7957,0.150253
87.362,0.154247
89.0855,0.159048
90.8091,0.163849
94.2467,0.171847
97.6652,0.176638
98.5365,0.180642
101.127,0.188644
101.998,0.192647
104.588,0.20065
106.302,0.203847
108.05,0.212656
110.616,0.21665
111.511,0.224662
113.225,0.227859
118.32,0.229435
125.113,0.231804
133.597,0.233362
139.553,0.237338
143.79,0.237315
150.589,0.240485
156.535,0.242859
162.486,0.246033
166.733,0.247614
171.832,0.249992
176.931,0.252369
183.725,0.254738
187.124,0.256323
192.223,0.2587
195.637,0.26269
205.83,0.266644
209.224,0.267428
214.323,0.269805
217.727,0.272192
221.979,0.274574
223.688,0.27697
227.93,0.277749
232.182,0.280131
236.438,0.283315
241.532,0.284891
245.784,0.287273
249.192,0.290461
253.449,0.293645
258.548,0.296023
264.504,0.299999
270.45,0.302372
274.702,0.304754
280.648,0.307127
284.062,0.311117
287.475,0.315107
293.422,0.31748
295.978,0.319871
300,0.322249
4.05522,0.111405
4.93138,0.11621
5.80753,0.121015
8.37376,0.125009
10.9352,0.128202
12.6396,0.129796
16.0389,0.131381
20.2809,0.13216
22.8327,0.13375
27.0747,0.134529
31.331,0.137713
36.4156,0.137686
39.8292,0.141675
46.6326,0.145647
50.8841,0.148029
55.15,0.152816
60.2633,0.157599
61.9773,0.160796
65.3958,0.165588
68.8094,0.169578
70.5235,0.172775
73.0945,0.177571
77.3556,0.181556
79.0792,0.186357
81.6454,0.190351
85.9161,0.19594
87.6301,0.199137
90.1963,0.203132
92.7625,0.207126
95.3048,0.207113
95.2665,0.2007
95.2426,0.196692
96.0469,0.189473
95.1803,0.186271
96.856,0.183055
100.255,0.18464
106.207,0.187815
111.305,0.190193
113.015,0.192589
117.266,0.194971
120.665,0.196556
126.612,0.198929
130.016,0.201316
134.263,0.202896
141.061,0.206066
146.16,0.208444
148.726,0.212438
154.663,0.213208
158.91,0.214789
163.161,0.217171
169.979,0.223548
175.069,0.224322
179.315,0.225903
183.572,0.229086
188.68,0.233067
194.631,0.236242
198.883,0.238624
205.677,0.240993
210.776,0.24337
215.879,0.24655
220.136,0.249733
226.929,0.252102
231.191,0.256087
237.146,0.260064
243.093,0.262437
244.797,0.264031
250.758,0.268809
255.857,0.271186
260.961,0.274366
265.217,0.277549
271.163,0.279923
274.568,0.282309
278.814,0.28389
283.923,0.287871
289.026,0.29105
293.278,0.293432
295.844,0.297426
300,0.299003
5.9751,0.00718273
10.217,0.00796169
15.3064,0.00873612
134.095,0.0329518
25.4899,0.0110866
33.969,0.0118429
39.0584,0.0126173
43.3004,0.0133963
48.3993,0.0157739
56.8832,0.0173318
63.677,0.0197004
73.8605,0.0220509
78.112,0.024433
84.9011,0.026
89.1526,0.0283822
100.198,0.0331329
106.135,0.0339028
111.234,0.0362805
118.037,0.0402523
122.279,0.0410312
130.777,0.0449939
134.181,0.0473806
141.823,0.0497447
142.684,0.052145
146.931,0.0537255
150.326,0.054509
156.277,0.0576837
161.38,0.060863
167.332,0.0640377
172.435,0.0672169
179.234,0.0703871
186.88,0.0735528
192.836,0.0775291
198.778,0.0791006
203.034,0.0822843
210.68,0.08545
212.384,0.0870441
216.636,0.0894263
225.129,0.0925874
230.233,0.0957667
235.342,0.0997475
240.44,0.102125
241.297,0.103724
245.563,0.108511
253.205,0.110875
260.855,0.114842
266.807,0.118017
272.753,0.12039
277.024,0.125979
282.96,0.126748
286.369,0.129937
292.325,0.133913
296.572,0.135494
300,0.139479
5.1181,0.00558405
14.4398,0.00553423
27.1561,0.0062679
30.5506,0.00705139
33.9403,0.00703328
38.1775,0.00701063
44.9665,0.00857761
50.0559,0.00935204
56.8353,0.00931581
62.7817,0.0116889
68.7233,0.0132604
76.3549,0.0140213
79.7542,0.0156064
85.6958,0.0171779
91.6374,0.0187494
99.2739,0.0203118
105.215,0.0218833
111.162,0.0242564
117.956,0.026625
123.902,0.0289981
246.234,0.078847
143.431,0.0353068
150.22,0.0368737
152.777,0.039265
158.723,0.0416381
166.36,0.0432005
174.02,0.048771
182.504,0.0503289
186.756,0.0527111
197.796,0.0566602
203.747,0.0598349
208.004,0.0630187
