****			
FIGNO: TC151232			
XPROP: Co-content			
XUNIT: x  in LaFe1-xCoxAsO			
"YPROP: T<SDW>, Tmin, Tc"			
YUNIT: K			
"PPROP: 1 T<SDW>, 2 Tmin, 3  Tc"			
PUNIT:			
SAMPLE: LaFe1-xCoxAsO			
****			

XDATA	YDATA	PDATA	NUMBER
0.000 	147.46 	1	
0.010 	135.68 	1	
0.019 	11.02 		
0.025 	111.74 	2	
0.050 	89.50 	2
0.075 	51.39 	2
0.100 	40.03 	2
0.125 	35.33 	2
0.150 	18.41 	2
0.200 	20.29 	2
0.025 	11.17 	3
0.050 	12.84 	3
0.075 	12.48 	3
0.100 	10.87 	3
0.125 	6.97 	3
0.025 	8.58 	3
0.050 	13.02 	3
0.075 	12.66 	3
0.100 	11.02 	3
0.125 	6.60 	3
