"Magnetic Susceptibility (emu/g Oe)(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/03/25, 9:15:01",
,
,
449,
Temperature (K),Magnetic Susceptibility (emu/g Oe)
3.861,-0.000181481
3.91892,-0.000151235
3.98842,-0.000146914
4.05792,-0.000138272
4.10425,-0.000125309
4.17375,-0.000108025
4.23166,-8.64E-05
4.31274,-6.05E-05
4.41699,-5.62E-05
4.49807,-4.32E-05
4.60232,-3.89E-05
4.77606,-2.59E-05
4.98456,-2.59E-05
4.99614,-1.30E-05
5.11197,-1.30E-05
5.28571,0
5.49421,8.64E-06
5.69112,8.64E-06
5.88803,8.64E-06
6.02703,0
6.36293,0
6.66409,8.64E-06
6.90734,-4.32E-06
6.97683,4.32E-06
3.49035,-0.00138272
3.51351,-0.00135247
3.51351,-0.00132654
3.5251,-0.00128333
3.53668,-0.00122284
3.57143,-0.00119259
3.57143,-0.00114506
3.60618,-0.00111481
3.60618,-0.00108457
3.65251,-0.00101111
3.67568,-0.00096358
3.69884,-0.000924691
3.71042,-0.000881482
3.71042,-0.000855556
3.75676,-0.000825309
3.96525,-0.000462346
3.75676,-0.000769136
3.79151,-0.000734568
3.80309,-0.000682716
3.83784,-0.000635185
3.861,-0.000604938
3.91892,-0.00057037
3.94209,-0.000518519
3.95367,-0.000501235
4.02317,-0.000432099
4.10425,-0.00039321
4.09266,-0.000367284
4.19691,-0.000298148
4.22008,-0.000259259
4.28958,-0.000207407
4.45174,-0.000155556
4.48649,-0.000112346
4.59073,-9.51E-05
4.69498,-7.35E-05
4.85714,-4.75E-05
4.92664,-4.75E-05
5.07722,-3.46E-05
5.18147,-1.30E-05
5.2973,-1.30E-05
5.45946,-1.30E-05
5.72587,-1.30E-05
6.08494,-1.30E-05
6.3861,-1.30E-05
6.53668,-1.30E-05
6.861,-1.30E-05
7.01158,-8.64E-06
1.89189,-0.00134815
1.96139,-0.00133519
2.07722,-0.00130062
2.19305,-0.00126173
2.26255,-0.0012142
2.32046,-0.00119259
2.42471,-0.00113642
2.51737,-0.00110185
2.67954,-0.0010284
2.72587,-0.000993827
2.89961,-0.000907407
2.95753,-0.000859877
3.08494,-0.000782099
3.18919,-0.000704321
3.27027,-0.000669753
3.3861,-0.000591975
3.42085,-0.000544444
3.59459,-0.000427778
3.71042,-0.00030679
3.84942,-0.000250617
3.96525,-0.000190123
4.01158,-0.00017716
4.0695,-0.000155556
4.12741,-0.000142593
4.15058,-0.00012963
4.19691,-0.000116667
4.27799,-8.64E-05
4.37066,-7.35E-05
4.42857,-6.05E-05
4.48649,-3.89E-05
4.60232,-3.46E-05
4.70656,-2.16E-05
4.86873,-1.30E-05
4.97297,-8.64E-06
5.13514,-4.32E-06
5.2278,-4.32E-06
5.49421,8.64E-06
5.87645,4.32E-06
6.02703,8.64E-06
6.2471,4.32E-06
6.44402,4.32E-06
6.59459,8.64E-06
6.82625,2.16E-05
6.95367,1.30E-05
6.98842,0
2.9807,-0.00137407
3.03861,-0.00132222
3.08494,-0.00122284
3.11969,-0.00118395
3.11969,-0.00113642
3.14286,-0.00111049
3.18919,-0.00106728
3.20077,-0.00101975
3.22394,-0.000998148
3.23552,-0.000976543
3.25869,-0.000937654
3.29344,-0.000898765
3.30502,-0.000881482
3.35135,-0.000859877
3.39768,-0.000820988
3.40927,-0.000773457
3.44402,-0.000747531
3.47876,-0.000708642
3.47876,-0.000674074
3.51351,-0.000639506
