"Hc2 (Oe)(T (K)), created by Plot Digitizer, 2.6.8"
"Date: 21/02/04, 9:02:04"


47
T (K),Hc2 (Oe)
0.0953895,1933.05,
0.0815580,2008.64,
0.102067,1749.46,
0.162639,1128.51,
0.150238,1247.30,
0.175517,1004.32,
0.198410,755.940,
0.221781,491.361,
0.239905,237.581,
0.257075,10.7991,
0.00143084,2537.80,
0.0114467,2527.00,
0.0195548,2500,
0.0281399,2478.40,
0.0338633,2451.40,
0.0395866,2424.41,
0.0510334,2348.81,
0.0558029,2305.62,
0.0653418,2230.02,
0.0710652,2181.43,
0.0767886,2122.03,
0.0829889,2057.24,
0.0891892,2003.24,
0.101113,1862.85,
0.106836,1787.26,
0.111606,1733.26,
0.116852,1663.07,
0.127345,1538.88,
0.133068,1474.08,
0.136884,1409.29,
0.143561,1322.89,
0.148331,1279.70,
0.155962,1187.90,
0.165501,1063.71,
0.173609,961.123,
0.182671,863.931,
0.193164,734.341,
0.202226,610.151,
0.209857,523.758,
0.215103,448.164,
0.222734,361.771,
0.228935,302.376,
0.233704,242.981,
0.239905,183.585,
0.243720,140.389,
0.249921,64.7948,
0.258506,-4.54747e-13,
