"ZBR (norm. units)(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/10/21, 10:38:19",
,
,
154,
Temperature (K),ZBR (norm. units)
2.00559,0.592233
2.08939,0.612945
2.19553,0.642718
2.30168,0.680259
2.39106,0.721683
2.49162,0.769579
2.60335,0.81877
2.70391,0.874434
2.7933,0.914563
2.9002,0.94765
2.99441,0.967638
3.10056,0.976699
3.25698,0.980583
3.75978,0.983172
4,0.984466
2,0.662136
2.09497,0.686731
2.18994,0.716505
2.29609,0.746278
2.39106,0.782524
2.50279,0.822654
2.59777,0.864078
2.69832,0.905502
2.7933,0.939159
2.87709,0.954693
2.98883,0.97411
3.10615,0.980583
3.26257,0.984466
3.50279,0.984466
3.75419,0.984466
4,0.981877
2,0.726861
2.10056,0.752751
2.2067,0.777346
2.28492,0.803236
2.40223,0.835599
2.49162,0.873139
2.59218,0.909385
2.70391,0.939159
2.800123,0.956914
2.89385,0.967638
3,0.976699
3.10615,0.985761
3.11173,0.984466
3.49721,0.985761
3.75419,0.984466
4,0.984466
1.99441,0.782524
2.10615,0.801942
2.20112,0.827832
2.30726,0.856311
2.39106,0.882201
2.49721,0.911974
2.58659,0.941748
2.69832,0.96111
2.7933,0.96875
2.89385,0.97811
3,0.981877
3.08939,0.983172
3.25698,0.983172
3.50279,0.985761
3.74302,0.984466
3.98883,0.984466
2.00559,0.830421
2.09497,0.851133
2.19553,0.877023
2.29609,0.905502
2.38547,0.928803
2.50279,0.953398
2.59218,0.965049
2.69274,0.975405
2.32402,0.979555
2.91061,0.983172
3,0.985761
3.24022,0.987055
3.50279,0.984466
3.75419,0.984466
4,0.985761
2.00559,0.874434
2.09497,0.893851
2.20112,0.914563
2.30168,0.93657
2.39665,0.953398
2.50279,0.965049
2.59777,0.97411
2.68715,0.980583
2.79888,0.988349
2.89944,0.985761
3,0.987055
3.08939,0.987055
3.26257,0.987055
3.49721,0.987055
3.74302,0.984466
3.99441,0.987055
2.00559,0.908091
2.10056,0.926214
2.18994,0.944337
2.29609,0.958576
2.40782,0.970227
2.49721,0.979288
2.59777,0.983172
2.69832,0.985761
2.79888,0.987055
2.89944,0.989644
2.99441,0.985761
3.10056,0.985761
3.24581,0.983172
3.50279,0.983172
3.7486,0.985761
3.98883,0.984466
2.01676,0.931392
2.08939,0.946926
2.20112,0.958576
2.2905,0.971521
2.39721,0.98055
2.49721,0.984466
2.59218,0.985761
2.70391,0.984466
2.7933,0.985761
2.90503,0.984466
3.01117,0.984466
3.11173,0.984466
3.26816,0.983172
3.49162,0.985761
3.7486,0.984466
3.99441,0.985761
2,0.949515
2.10615,0.965049
2.19553,0.970638
2.27374,0.977994
2.40223,0.984466
2.50838,0.985761
2.60335,0.988349
2.79888,0.987055
2.88827,0.988349
3,0.985761
3.10615,0.985761
3.24022,0.980583
3.50279,0.985761
3.75978,0.985761
4.00559,0.983172
2.02235,0.984466
2.10615,0.985761
2.19553,0.985761
2.39106,0.987055
2.49162,0.987055
2.59777,0.987055
2.76536,0.987055
2.80447,0.987055
2.91061,0.985761
3.00559,0.985761
3.11173,0.985761
3.26257,0.984466
3.75978,0.985761
3.99441,0.984466
