"rab (mWcm)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/03/22, 11:10:48",
,
,
143,
T (K),rab (mWcm)
0,0
13.8358,0.00286672
14.1381,0.0547071
15.0712,0.098144
15.3804,0.120562
17.2653,0.128977
21.6678,0.128998
25.4407,0.131818
32.9869,0.136056
44.9359,0.138914
60.0289,0.144589
73.2341,0.154458
92.7293,0.161554
113.167,0.172858
129.202,0.18274
141.151,0.1884
153.413,0.196864
163.789,0.201115
172.906,0.212366
183.911,0.219423
197.431,0.227893
210.636,0.239163
224.155,0.249033
240.819,0.260319
268.173,0.281463
276.347,0.289907
287.979,0.30117
298.984,0.306826
