"M (10-4 emu/g)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/02/04, 8:58:28",
,
,
105,
T (K),M (10-4 emu/g)
1.8159,-1.025
1.89958,-0.85
2.0251,-0.663333
2.17155,-0.449444
2.33891,-0.235556
2.46444,-0.0644444
2.61088,0.0366667
2.77824,0.095
2.92469,0.126111
3.11297,0.110556
3.23849,0.118333
3.40586,0.114444
3.6569,0.106667
3.84519,0.106667
3.99163,0.0911111
4.13808,0.0911111
4.30544,0.0988889
4.53556,0.0988889
4.78661,0.0988889
5.0795,0.0872222
5.43515,0.0911111
7.5272,0.102778
5.93724,0.095
6.18828,0.0677778
6.27197,0.0833333
6.46025,0.0872222
6.60669,0.0872222
6.79498,0.0872222
7.06695,0.0872222
7.17155,0.0716667
7.38075,0.0755556
7.71548,0.095
7.90377,0.0911111
8.15481,0.0755556
8.28033,0.0638889
8.38494,0.0755556
8.61506,0.0911111
8.76151,0.0833333
8.94979,0.0833333
9.30544,0.0872222
9.51464,0.0716667
9.74477,0.0872222
9.87029,0.0872222
9.99582,0.0872222
1.79498,-0.694444
1.83682,-0.671111
1.96234,-0.573889
2.06695,-0.484444
2.17155,-0.398889
2.19247,-0.313333
2.35983,-0.196667
2.46444,-0.130556
2.58996,-0.0488889
2.67364,0.0133333
3.36402,-0.00222222
2.82008,0.0172222
2.86192,0.0288889
2.96653,0.0211111
3.15481,-0.00611111
3.19665,0.025
3.5523,0.0211111
3.67782,-0.00222222
4.59833,-0.0216667
3.86611,-0.00222222
4.01255,0.00166667
4.09623,0.0133333
4.24268,-0.01
4.34728,-0.01
4.45188,-0.0216667
4.74477,-0.0216667
6.12552,0.00555556
4.95397,-0.00222222
5.0795,0.00166667
5.14226,-0.01
5.1841,-0.0216667
5.41423,-0.0177778
5.49791,-0.00611111
5.66527,-0.0255556
5.81172,-0.00222222
5.8954,0.00555556
6.02092,-0.0138889
6.25105,-0.0177778
6.87866,0.0172222
6.46025,0.00944444
6.64854,0.00944444
6.73222,-0.01
7.23431,-0.01
7.00418,0.00166667
7.31799,0.0133333
7.5272,0.00944444
7.75732,-0.0138889
7.82008,0.00555556
7.98745,0.00944444
8.23849,-0.00611111
9.41004,0.0172222
8.42678,0.0172222
8.5523,0.025
8.61506,0.00555556
8.82427,0.0172222
8.92887,0.00166667
9.159,0.00166667
9.53556,0.0172222
9.61925,-0.0138889
9.93305,0.00555556
9.93305,0.00555556
