"Tc (K)(y in (Zr1-yLny)P1.25Se0.75), created by Plot Digitizer, 2.6.8",
"Date: 22/03/24, 9:58:52",
,
,
5,
y in (Zr1-yLuy)P1.25Se0.75,Tc (K)
0.00E+00,5.90741
0.151129,6.27778
0.249692,7.09259
0.400821,7.24074
0.502669,6.77778
5,
y in (Zr1-yYy)P1.25Se0.75,
0.00E+00,5.90741
0.151129,6.37037
0.249692,6.05556
0.400821,5.09259
0.502669,5.62963
4,
y in (Zr1-yLay)P1.25Se0.75,
0.00E+00,5.88889
0.149487,5.88889
0.249692,5.18518
0.400821,5.18518
6,
y in (Zr1-yScy)P1.25Se0.75,
0,5.90741
0.151129,7.33333
0.249692,7.57407
0.300616,7.35185
0.400821,7.31482
0.699795,3.44444
