"Tmin [K](B [T]), created by Plot Digitizer, 2.6.8",
"Date: 23/07/04, 11:17:21",
,
,
17,
B [T],Tmin [K]
0.501393,0.578488
0.994429,0.709302
1.49582,0.764535
2.00557,0.784884
0.501393,0.369186
0.994429,0.607558
1.50418,0.686047
2.00557,0.709302
2.49861,0.718023
1.00279,0.34593
1.50418,0.630814
2.00557,0.630814
2.50696,0.633721
2.00557,0.30814
2.51532,0.383721
0.45961,0.180233
2.28134,0.549419
