****			
FIGNO: TC150927	TC152927		
XPROP: Co-content 			
XUNIT: x  in LaFe1-xCoxAsO0.89F0.11			
YPROP: Tc			
YUNIT: K			
PPROP: 			
PUNIT:			
SAMPLE: LaFe1-xCoxAsO0.89F0.11			
****			

XDATA	YDATA	PDATA	NUMBER
0	28.1 	1	1
0.01	27.7 	1	2
0.0025	25.9 	1	3
0.0125	25.0 	1	4
0.0075	25.3 	1	5
0.0125	23.9 	1	6
0.03	21.4 	1	7
0.0075	21.5 	1	8
0.005	25.1 	1	9
0	21.3 	1	10
0	12.1 	1	11
0.02	10.4 	1	12
0.015	8.2 	1	13
0.025	7.8 	1	14
0.01	0.1 	1	15
