"M (emu/cm3)(H (Oe)), created by Plot Digitizer, 2.6.8",
"Date: 21/04/08, 9:53:25",
,
10K,
106,
-39980,-255.21
-44459,-257.86
-50000,-260.18
-55159.2,-265.148
60000,-267.85
-65095.5,-270.615
-69936.3,-272.437
,
,
15K,
89,
H (Oe),M (emu/cm3)
-70000,-294.305
-64331.2,-294.305
-60000,-292.483
-55159.2,-294.305
-49554.1,-294.305
-44968.2,-290.661
-39872.6,-288.838
-35031.8,-287.016
-29681.5,-279.727
-25095.5,-279.727
-20000,-285.194
-14649.7,-272.437
-9808.92,-266.97
-6751.59,-257.859
-4713.38,-254.214
-3439.49,-246.925
-2165.6,-234.169
-891.72,-221.412
-382.166,-208.656
382.166,-184.966
891.72,-132.118
636.943,-113.895
127.389,-44.6469
636.943,-4.55581
-382.166,41.0023
-127.389,121.185
-382.166,144.875
127.389,183.144
636.943,206.834
1146.5,219.59
2420.38,237.813
4203.82,248.747
6496.82,256.036
9299.36,259.681
10318.5,266.97
14649.7,272.437
19745.2,276.082
24840.8,281.549
29936.3,283.371
35031.8,285.194
39872.6,287.016
44968.2,290.661
50063.7,290.661
54649.7,288.838
59745.2,290.661
65095.5,292.483
70445.9,265.148
65000,266
60254.8,254.214
54904.5,254.214
50063.7,246.925
44458.6,241.458
40127.4,241.458
35286.6,234.169
30191.1,228.702
2500,232
19745.2,214.123
15414,192.255
10063.7,184.966
9000,184.97
7770.7,174.032
6242.04,161.276
4713.38,148.519
4203.82,141.23
3439.49,124.829
2929.94,106.606
1910.83,90.205
1420.4,90.205
127.389,66.615
0,-2.73349
-1146.5,-34.692
-2420.38,-66.5148
-3439.49,-113.895
-5477.71,-124.829
-5732.48,-155.809
-7261.15,-166.743
-8535.03,-181.321
-10573.2,-188.61
-14649.7,-195.9
-20000,-208.656
-24076.4,-217.768
-29426.8,-221.412
-34522.3,-223.235
-39617.8,-237.813
-44968.2,-246.925
-50828,-254.214
-55000,-252.69
-65095.5,-257.859
-70191.1,-259.681
,
,
20K,
85,
H (Oe),M (emu/cm3)
-69426.8,-263.326
-65095.5,-257.859
-59745.2,-252.392
-55414,-252.392
-50063.7,-245.103
-44203.8,-237.813
-40000,-232.346
-35031.8,-229.74
-29936.3,-225.057
-24840.8,-214.123
-20509.6,-205.011
-15414,-194.077
-10022,-179.499
-8025.48,-161.412
-6242.04,-139.408
-4968.15,-126.651
-3949.04,-115.718
-2165.6,-95.672
-1656.05,-53.7585
127.389,-37.3576
-382.166,-4.55581
-127.389,6.37813
1401.27,37.3576
1910.83,79.2711
3439.49,121.185
4458.6,163.098
4713.38,177.677
7261.15,195.9
8789.81,206.834
10318.5,214.123
14904.5,215.945
19745.2,221.412
25095.5,232.346
30191.1,245.103
35796.2,246.925
39872.6,254.214
45222.9,257.859
49299.4,259.681
54904.5,265.148
59745.2,266.97
65350.3,266.97
71210.2,268.793
65095.5,259.681
59490.4,256.036
55414,248.747
50318.5,241.458
44713.4,235.991
40382.2,228.702
35286.6,228.702
30191.1,221.412
24840.8,212.301
20254.8,205.011
14904.5,186.788
10063.7,172.21
7515.92,152.164
5987.26,133.941
4203.82,121.185
4203.82,97.4943
2420.38,86.5604
2165.6,71.9818
1401.27,57.4032
636.943,41.0023
636.943,22.779
-127.389,10.0228
-1401.27,-8.20046
-1656.05,-17.3121
-3949.04,-37.3576
-3949.04,-79.2711
-4458.6,-84.738
-5732.48,-97.4943
-5987.26,-110.251
-9554.14,-121.185
-14649.7,-150.342
-20509.6,-174.032
-25350.3,-190.433
-29426.8,-199.544
-35000,-206.834
-39618,-216.83
-43694.3,-226.879
-49044.6,-234.169
-54394.9,-245.103
-60000,-250.569
-64586,-250.569
-69936.3,-256.036
-70191,-265.148
,
,
30K,.
81,
H (Oe),M (emu/cm3)
-69957,-221.01
-64851,-219.18
-60000,-215.52
-55660,-211.35
-50298,-206.39
-45106,-199.18
-39064,-188.99
-34979,-180.82
-29872,-169.86
-25021,-153.43
-20170,-133.33
-15064,-113.24
-10213,-85.845
-8170.2,-73.059
-6893.6,-65.753
-6127.7,-56.621
-4851.1,-51.142
-3574.5,-43.836
-2502.1,-35.64
-1531.9,-27.397
255.32,-18.265
1531.9,-12.785
2042.6,-1.8265
3063.8,14.612
4085.1,16.438
4340.4,23.744
5106.4,29.224
6127.7,38.356
7148.9,43.836
8425.5,51.142
10468,69.406
15064,96.804
20170,118.72
25000,136.6
30128,153.43
34979,166.21
40085,178.99
45191,189.95
49787,195.43
55149,206.39
60255,215.52
65051,220.3
69702,224.66
65362,221.01
60511,221.01
55404,210.05
50553,208.22
45191,197.26
35234,178.99
30638,169.86
25532,151.6
20170,136.99
15319,115.07
10213,84.018
8106.4,75.571
7659.6,67.58
6893.6,62.1
5361.7,56.621
4851.1,49.315
3829.8,43.836
2553.2,32.877
1531.9,25.571
255.32,21.918
-1021.3,1.10E+01
-2042.6,5.68E-14
-2553.2,-10.959
-3829.8,-18.265
-5106.4,-25.571
-6383,-34.703
-7914.9,-51.142
-9957.5,-65.753
-15064,-94.977
-19660,-118.72
-25021,-136.99
-30128,-155.25
-34979,-166.21
-45191,-188.13
-49787,-191.78
-54938,-200.39
-59745,-208.22
-64851,-215.18
