"Bc(1,2) [T](Tc [K]), created by Plot Digitizer, 2.6.8"
"Date: 21/08/16, 11:19:07"


19
Tc [K],Bc(1,2) [T]
2.00104,0.563915,
2.36899,0.470312,
2.79480,0.339056,
3.19624,0.197299,
3.47175,0.0842397,
3.68445,-0.00168869,
2.00011,0.0105263,
2.32051,0.0117089,
2.57292,0.00995206,
2.77195,0.00975254,
2.99036,0.00652602,
3.35440,0.00315351,
3.67476,-0.000175195,
2.29926,0.300455,
2.64286,0.199358,
2.88504,0.147986,
3.10298,0.0996472,
3.33547,0.0497895,
3.58251,-0.00158649,
