"M [x10-6 e.m.u.](Temperature [K]), created by Plot Digitizer, 2.6.8"
"Date: 24/03/19, 10:58:01"


101
Temperature [K],M [x10-6 e.m.u.]
88.7850,-2.08602,
94.3925,-2.06452,
100.935,-2.04301,
107.477,-1.97849,
114.019,-1.93548,
117.757,-1.91398,
124.299,-1.87097,
128.972,-1.84946,
133.645,-1.80645,
138.318,-1.76344,
143.925,-1.69892,
149.533,-1.61290,
154.206,-1.61290,
158.879,-1.54839,
165.421,-1.46237,
170.093,-1.41935,
176.636,-1.33333,
182.243,-1.26882,
189.720,-1.18280,
196.262,-1.11828,
200.935,-1.01075,
207.477,-0.903226,
213.084,-0.860215,
218.692,-0.795699,
225.234,-0.666667,
227.103,-0.623656,
232.710,-0.559140,
238.318,-0.451613,
242.056,-0.408602,
246.729,-0.344086,
251.402,-0.279570,
257.944,-0.172043,
264.486,-0.107527,
271.028,-0.107527,
274.766,-0.0645161,
280.374,-2.22045e-16,
288.785,-0.0215054,
303.738,-2.22045e-16,
310.280,-0.0215054,
316.822,-2.22045e-16,
324.299,-0.0215054,
90.6542,-6.51613,
98.1308,-6.49462,
102.804,-6.49462,
107.477,-6.47312,
114.953,-6.43011,
120.561,-6.36559,
128.037,-6.30108,
133.645,-6.25806,
139.252,-6.17204,
145.794,-6.08602,
149.533,-6,
152.336,-5.91398,
156.075,-5.80645,
159.813,-5.74194,
163.551,-5.59140,
168.224,-5.46237,
171.963,-5.35484,
173.832,-5.24731,
177.570,-5.11828,
181.308,-4.96774,
185.981,-4.81720,
187.850,-4.73118,
191.589,-4.58065,
193.458,-4.45161,
197.196,-4.32258,
200,-4.21505,
202.804,-4.06452,
205.607,-3.91398,
210.280,-3.74194,
213.084,-3.61290,
214.019,-3.48387,
217.757,-3.33333,
222.430,-3.09677,
225.234,-2.88172,
229.907,-2.68817,
233.645,-2.49462,
235.514,-2.32258,
238.318,-2.08602,
239.252,-1.93548,
242.991,-1.78495,
243.925,-1.61290,
247.664,-1.44086,
250.467,-1.26882,
255.140,-1.01075,
257.944,-0.817204,
260.748,-0.731183,
262.617,-0.666667,
267.290,-0.537634,
268.224,-0.430108,
270.093,-0.387097,
272.897,-0.301075,
278.505,-0.215054,
281.308,-0.150538,
286.916,-0.107527,
291.589,-0.0645161,
300.935,-0.0645161,
307.477,-0.0430108,
314.019,-0.0215054,
320.561,-0.0215054,
325.234,-2.22045e-16,
