****				
FIGNO: MHC158235				
XPROP: T				
XUNIT:  K				
"YPROP: Hc2, Hc1"				
"YUNIT: T, mT"				
PPROP: 				
PUNIT: 				
SAMPLE:  TaRh2B2				
****				
				
XDATA	YDATA	PDATA	NUMBER	
1.69 	4.29 	Hc1	1	not demag-correction
1.99 	4.12 	Hc1	2	
2.50 	3.82 	Hc1	3	
3.00 	3.58 	Hc1	4	
3.50 	3.14 	Hc1	5	
3.99 	2.61 	Hc1	6	
4.49 	2.03 	Hc1	7	
5.02 	1.19 	Hc1	8	
5.52 	0.42 	Hc1	9	
1.91 	11.00 	Hc2	1	
2.15 	10.52 	Hc2	2	
2.32 	9.98 	Hc2	3	
2.52 	9.50 	Hc2	4	
2.68 	8.98 	Hc2	5	
2.90 	8.50 	Hc2	6	
3.07 	7.97 	Hc2	7	
3.27 	7.45 	Hc2	8	
3.44 	7.01 	Hc2	9	
3.63 	6.46 	Hc2	10	
3.81 	5.95 	Hc2	11	
3.98 	5.45 	Hc2	12	
4.15 	4.95 	Hc2	13	
4.36 	4.41 	Hc2	14	
4.51 	3.97 	Hc2	15	
4.68 	3.48 	Hc2	16	
4.83 	2.97 	Hc2	17	
5.01 	2.54 	Hc2	18	
5.19 	1.95 	Hc2	19	
5.36 	1.51 	Hc2	20	
5.52 	1.03 	Hc2	21	
5.74 	0.53 	Hc2	22	
