"R (W)(T (K)), created by Plot Digitizer, 2.6.8",,
"Date: 21/03/29, 13:01:29",,
,,
,,
21,,
T (K),R (W)12MPa,R (W)-12MPa
19.2,0.00002,0.00029745
19.2505,0.000594901,0.000694051
19.3022,0.00148725,0.0021813
19.3502,0.00475921,0.00575071
19.3995,0.0110057,0.0126912
19.45,0.0202266,0.0215156
19.5017,0.0272663,0.0282578
19.5498,0.0313314,0.0318272
19.6015,0.0336119,0.0340085
19.6495,0.0345042,0.0350991
19.7012,0.0354958,0.0354958
