"rab (mWcm)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/03/22, 11:10:48",
,
,
143,
T (K),rab (mWcm)
0,0.00E+00
5.03078,0.0028256
5.33536,0.0448586
5.32811,0.0756817
6.88428,0.144341
6.87999,0.162554
9.70754,0.173776
16.3113,0.173807
22.6003,0.175237
30.4612,0.178076
41.1527,0.179527
49.6416,0.186572
62.5331,0.193637
86.7439,0.20636
102.149,0.220442
118.185,0.230325
134.22,0.243009
146.482,0.251472
163.145,0.266962
176.034,0.282434
188.924,0.296504
202.757,0.310579
218.162,0.327464
230.422,0.344334
244.568,0.364015
257.143,0.379485
267.832,0.393545
278.207,0.403401
287.952,0.418858
