****					
FIGNO: MHC151329					
XPROP: T					
XUNIT: K					
YPROP: Hc2					
YUNIT: T					
PPROP: 					
PUNIT:					
"SAMPLE: Sr0.58K0,42Fe2As2"					
****					

XDATA	YDATA	PDATA	NUMBER		
34.6 	7.0 	1	1		1244.69136
34.8 	6.0 	1	2		1251.591264
34.9 	5.0 	1	3		1257.429744
35.1 	4.0 	1	4		1263.622032
35.3 	3.0 	1	5		1270.875744
35.5 	2.0 	1	6		1277.069328
35.7 	1.0 	1	7		1283.969232
36.0 	0.0 	1	8		1296
