"r [mW cm](T [K]), created by Plot Digitizer, 2.6.8",
"Date: 24/03/14, 11:24:02",
,
,
477,
T [K],r [mW cm]
5.25128,1020.92
5.28205,1050.21
5.33333,1066.95
5.54872,1087.87
5.64103,1087.87
5.75385,1092.05
5.90769,1092.05
6.01026,1092.05
2.17436,0
4.18462,0
4.81026,4.1841
4.90256,16.7364
4.95385,33.4728
4.97436,75.3138
4.99487,125.523
5.00513,175.732
5.02564,251.046
5.06667,343.096
5.09744,422.594
5.11795,489.54
5.16923,539.749
5.47692,861.925
5.13846,644.351
5.16923,698.745
5.18974,757.322
5.22051,828.452
5.22051,853.556
5.26154,882.845
5.28205,928.87
5.32308,962.343
5.33333,1000
5.40513,1037.66
5.50769,1071.13
5.67179,1079.5
5.7641,1079.5
5.89744,1087.87
5.98974,1083.68
2.53333,4.1841
4.59487,4.1841
4.9641,8.3682
5.0359,12.5523
5.05641,41.841
5.06667,100.418
5.08718,171.548
5.09744,238.494
5.11795,288.703
5.11795,364.017
5.14872,443.515
5.16923,523.013
5.21026,615.063
5.21026,694.561
5.23077,748.954
5.23077,799.163
5.24103,832.636
5.27179,870.293
5.28205,928.87
5.31282,962.343
5.35385,1000
5.40513,1037.66
5.47692,1071.13
5.54872,1096.23
5.63077,1100.42
5.7641,1096.23
5.91795,1096.23
6.02051,1092.05
2.09231,-4.1841
4.19487,4.1841
5.14872,-4.1841
5.24103,16.7364
5.28205,37.6569
5.30256,108.787
5.32308,230.126
5.39487,435.146
5.42564,623.431
5.44615,711.297
5.45641,790.795
5.48718,916.318
5.49744,953.975
5.85641,1100.42
5.57949,1037.66
5.63077,1066.95
5.70256,1087.87
5.77436,1092.05
5.93846,1096.23
5.98974,1096.23
2.11282,4.1841
5.06667,8.3682
5.12821,54.3933
5.15897,112.971
5.16923,163.18
5.21026,217.573
5.2,280.335
5.22051,334.728
5.30256,460.251
5.31282,543.933
5.32308,602.51
5.33333,652.72
5.37436,715.481
5.37436,769.874
5.38462,845.188
5.39487,899.582
5.42564,949.791
5.47692,991.632
5.48718,1012.55
5.6,1062.76
5.74359,1079.5
5.85641,1096.23
