"Jc (A/cm2)(Tc (K)), created by Plot Digitizer, 2.6.8"
"Date: 21/08/17, 13:53:56"


9
Tc (K),Jc (A/cm2)
13.7331,1.16507e+06,
12.8313,592259,
10.8988,321447,
9.50307,242040,
11.9294,436325,
9.30982,156427,
8.81595,117785,
8.60123,134265,
13.9908,59875.8,
