---------			
FIGNO:MTC40480			
XPROP:P			
XUNIT:kbar			
YPROP:Tc			
YUNIT:K			
PPROP:1 measued values			
PUNIT:			
---------			
xdata	ydata	pdata	number
0	0.19		
4.7	0.16		
7	0.12		
8.4	0.09		
9.3	0.05		
14.9	0.06		
15.8	0.12		
17	0.2		
19.3	0.27		
20.5	0.31		
24.4	0.35		
26.7	0.36		
30.9	0.36		
35.3	0.36		
39.5	0.34		
44.7	0.3		
50.2	0.23		
54.4	0.17		
58.6	0.11		
63.5	0.05		
23	0.34	1	1
45.3	0.29	1	2
