"R (W)(T (K)), created by Plot Digitizer, 2.6.8"
"Date: 21/08/17, 11:03:57"


48
T (K),R (W)
3.78698,0.179641,
4.31953,0.239521,
4.73373,0.179641,
4.97041,0.179641,
5.44379,0.179641,
5.73965,0.179641,
6.15385,0.179641,
6.68639,0.179641,
7.15976,0.179641,
7.51479,0.179641,
8.16568,0.239521,
8.57988,0.179641,
9.05325,0.179641,
9.46746,0.119760,
10.0592,0.179641,
10.4734,0.179641,
10.8876,0.119760,
11.3018,0.119760,
11.9527,0.119760,
12.2485,0.179641,
12.6627,0.179641,
13.1953,0.0598802,
13.5503,0.179641,
13.7278,0.239521,
13.9053,0.838323,
14.0828,2.63473,
14.2604,5.02994,
14.4970,8.62275,
14.6154,10.8982,
14.8521,12.2754,
14.9704,12.8144,
15.0888,13.0539,
15.2663,13.4731,
15.3846,13.7126,
15.6213,13.8323,
15.7988,14.0120,
15.9763,14.1916,
16.3314,14.3713,
16.7456,14.4311,
17.0414,14.6707,
17.5740,14.6108,
18.0473,14.7904,
18.4024,14.7904,
18.6982,14.9102,
19.1716,14.9102,
19.4083,15.0299,
19.6450,15.0299,
19.8225,15.0299,
