"m0Hc2 (T)(z (deg)), created by Plot Digitizer, 2.6.8",
"Date: 22/01/24, 10:54:05",
,
,
z (deg),m0Hc2 (T)
T/Tc=24,14
82.2575,17.0858
84.8325,19.9852
85.8201,21.7973
87.9718,25.2663
88.7478,26.8713
89.2416,27.9068
89.5944,28.7352
89.8765,29.5118
90.2645,29.0459
90.6526,28.5799
90.6878,27.8033
91.358,26.8713
93.933,22.6257
97.0018,18.0178
,
T/Tc=0.54,30
80.1411,10.355
80.6349,10.2515
81.164,10.9763
81.3757,11.0799
82.5397,11.9601
83.7037,13.2027
85.1146,15.0666
85.5026,15.5843
85.9612,16.2056
86.7019,17.2929
86.8783,17.1893
87.3369,18.5873
88.254,20.4512
88.642,20.1405
88.7478,20.6065
88.642,21.2796
88.9594,21.7456
89.2416,22.3669
89.7002,23.5059
89.8765,23.9719
89.9824,24.4896
90.0529,24.8003
90.3351,23.9201
90.3351,23.6095
90.5115,23.1953
90.8642,22.574
92.5573,19.0015
93.1217,18.0178
94.4974,15.9985
97.2487,12.3743
,
T/Tc=0.96,38
80.071,3.1583
81.975,3.6243
82.963,4.0902
84.056,4.7633
85.009,5.5917
86.032,6.4719
87.019,7.5592
87.584,8.3876
88.007,9.216
88.536,10.096
89.03,10.976
89.242,11.391
89.347,11.546
89.383,11.96
89.694,12.633
89.765,12.944
89.835,13.358
89.9,13.56
89.982,13.824
90.013,13.524
90.053,13.254
90.159,12.944
90.306,12.581
90.406,12.115
90.55,11.82
90.653,11.38
90.899,10.717
91.146,10.459
91.605,9.7337
92.134,8.9053
93.086,7.6627
94.074,6.6272
95.062,5.6953
96.12,5.0222
97.108,4.4009
98.095,3.8314
99.048,3.5725
