"T (K)(X), created by Plot Digitizer, 2.6.8"
"Date: 22/02/03, 9:35:20"


15
X,T (K)
-3.46945e-18,17.1354,
0.0397436,18.9583,
0.110256,24.7917,
0.169872,16.2240,
0.180769,15.1302,
-3.46945e-18,14.0365,
0.0698718,20.0521,
0.110256,23.8802,
0.170513,16.9531,
0.0705128,69.8177,
0.127564,50.6771,
0.153205,37.5521,
0.169231,24.7917,
0.178205,12.0313,
0.180128,0,
