"Rs (W-1)(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/11/08, 10:34:03",
,
,
683,
3.6095,17.735
3.6971,17.77
3.8942,18.014
4.3212,17.84
4.5182,17.979
4.7701,17.944
4.9343,17.944
1.8029,1.5331
1.8467,1.9164
1.9015,2.3345
1.9453,2.8571
1.9781,3.2753
2.0329,3.9721
2.0547,4.4948
2.0876,4.9826
2.1095,5.4704
2.1204,6.1324
2.1533,6.6899
2.1752,7.3519
2.219,8.1185
2.2299,8.8153
2.2737,9.4774
2.2847,10.139
2.2956,10.732
2.3285,11.15
2.3504,11.951
2.4051,12.474
2.4161,13.206
2.4599,13.902
2.4818,14.355
2.5036,14.704
2.5365,15.052
2.5365,15.366
2.5693,15.679
2.6131,16.063
2.6679,16.446
2.7226,16.725
2.7883,16.899
2.8759,17.073
2.9088,17.247
3.0073,17.282
3.1058,17.387
3.2153,17.561
3.281,17.561
3.4124,17.666
3.6861,17.735
4.3759,17.875
4.6058,17.875
4.8029,17.909
1.8029,2.3345
1.8577,3.2753
1.9124,3.8676
1.9343,4.5645
2,5.2613
2.0438,6.0279
2.0657,6.7596
2.0985,7.3868
2.1204,8.0139
2.1423,8.7456
2.1533,9.2683
2.1971,9.8955
2.2409,10.627
2.2628,11.498
2.2847,12.125
2.3175,12.718
2.3504,13.45
2.3613,13.798
2.3942,14.39
2.427,14.843
2.4489,15.261
2.4708,15.575
2.5036,15.854
2.5365,16.132
2.5693,16.411
2.6241,16.62
2.69,16.88
2.7993,17.073
2.865,17.143
2.9525,17.282
3.0292,17.422
3.1496,17.491
3.292,17.596
3.4124,17.666
3.511,17.805
3.6752,17.84
3.7847,17.84
3.9927,17.875
4.1241,17.909
4.2007,17.909
4.5073,17.944
1.8029,3.9024
1.8577,4.878
1.8905,5.5052
1.9234,6.3066
1.9781,7.2125
2.011,8.0488
2.0438,8.8502
2.0657,9.5122
2.0985,10.035
2.1314,10.767
2.1642,11.603
2.1971,12.404
2.2518,12.892
2.2628,13.345
2.2737,13.728
2.2956,14.286
2.3394,14.983
2.3613,15.331
2.3942,15.645
2.4489,16.028
2.4927,16.272
2.5255,16.411
2.5475,16.655
2.5912,16.76
2.6788,16.899
2.7774,17.178
2.8759,17.317
3.0182,17.352
3.2591,17.631
3.3796,17.77
3.5876,17.805
3.708,17.84
3.8832,17.944
4.1788,17.909
4.6277,17.909
4.989,17.944
1.8029,5.6794
1.8248,6.3066
1.8577,6.8293
1.8905,7.3171
1.9015,7.7352
1.9343,8.3275
1.9671,9.0244
2,9.547
2.0219,10.209
2.0438,10.697
2.0657,11.185
2.0876,11.463
2.1095,12.091
2.1423,12.683
2.1533,13.554
2.1861,14.146
2.219,14.669
2.2628,15.226
2.2847,15.54
2.3237,16.028
2.3832,16.446
2.438,16.76
2.5584,17.073
2.635,17.212
2.7226,17.352
2.919,17.519
3.2153,17.716
3.3139,17.805
3.4562,17.859
3.6095,17.974
3.6533,17.904
3.7518,17.919
4.2226,17.944
4.5402,17.964
4.8686,17.979
1.8139,7.6307
1.8358,8.2927
1.8686,8.8502
1.8796,9.3728
1.9015,9.8258
1.9343,10.418
1.9671,11.01
1.9781,11.638
2.0438,12.369
2.0657,12.997
2.0876,13.484
2.1095,13.937
2.1423,14.46
2.1752,14.983
2.208,15.401
2.2409,15.923
2.2737,16.272
2.3285,16.585
2.4708,17.003
2.5693,17.212
2.8102,17.491
2.9197,17.666
3.1387,17.735
3.2701,17.875
3.3796,17.909
4.1022,17.979
4.3978,17.944
1.8029,9.6864
1.8248,10.279
1.8577,10.871
1.9015,11.707
1.9343,12.335
1.9562,12.857
1.9891,13.206
2.0329,13.798
2.0329,14.111
2.0657,14.39
2.0985,14.983
2.1204,15.505
2.1642,15.889
2.1861,16.167
2.2299,16.481
2.2847,16.76
2.3504,16.969
2.4818,17.178
2.5803,17.317
2.6788,17.456
2.7774,17.561
2.8759,17.631
2.9745,17.735
3.073,17.875
3.2263,17.909
3.4234,17.944
3.6204,17.979
1.8139,11.672
