"c (10-4 emumol-1Oe-1)(T (K)), created by Plot Digitizer, 2.6.8"
"Date: 22/02/15, 13:11:13"


50
T (K),c (10-4 emumol-1Oe-1)
10.5882,2.24339,
12,2.16931,
14.8235,2.08466,
16.9412,2.04233,
19.0588,2,
21.1765,1.96825,
24,1.92593,
27.5294,1.89418,
31.7647,1.87302,
36.7059,1.85185,
40.9412,1.83069,
45.8824,1.84127,
51.5294,1.83069,
57.1765,1.83069,
61.4118,1.85185,
66.3529,1.86243,
70.5882,1.89418,
75.5294,1.92593,
79.7647,1.95767,
83.2941,1.98942,
85.4118,2.02116,
86.8235,2.05291,
90.3529,2.05291,
94.5882,2.07407,
98.8235,2.10582,
101.647,2.12698,
105.882,2.14815,
112.941,2.20106,
123.529,2.27513,
130.588,2.34921,
138.353,2.42328,
146.118,2.49735,
158.118,2.61376,
170.118,2.73016,
179.294,2.81481,
187.059,2.89947,
196.235,2.99471,
206.118,3.10053,
213.176,3.19577,
222.353,3.30159,
231.529,3.36508,
240,3.47090,
249.176,3.58730,
258.353,3.69312,
266.118,3.77778,
271.059,3.83069,
280.235,3.92593,
288,4.02116,
295.059,4.08466,
299.294,4.14815,
