---------			
FIGNO:MHC150164			
XPROP:T			
XUNIT:K			
YPROP:Hc2			
YUNIT:Oe			
"PPROP:1 Ir2Ga9,  2  Rh2Ga9"			
PUNIT:			
---------			
xdata	ydata	pdata	number
1.06	130.36		1
1.21	110.71		2
1.45	80.36		3
1.88	30.36		4
2.2	0		5
0.84	100.44		1
1.22	71.11		2
1.56	41.78		3
1.9	1.78		4
