---------				
FIGNO:OTC338				
XPROP:P				
XUNIT:kbar				
"YPROP:T<MI>,Tc(on),Tc(id)"				
YUNIT:K				
"PPROP:1 T<MI>,  2 Tc(on),  3 Tc(mid)"				
PUNIT:				
---------				
xdata	ydata	pdata	number	
0	53.08		1	1
3.12	40.77		1	2
4.77	44.13		1	3
6.84	41.31		1	4
8.7	35.26		1	5
9.5	33.45		1	6
10.47	26.03		1	7
11.36	22.81		1	8
11.86	18.72		1	9
11.86	16.4		1	10
10.47	4.33		2	1
11.36	4.68		2	2
11.91	5.2		2	3
10.47	3.19		3	1
11.36	4		3	2
11.91	4.44		3	3
