"m0Hc1 [mT](T [K]), created by Plot Digitizer, 2.6.8"
"Date: 24/03/13, 9:28:31"


7
T [K],m0Hc1 [mT]
1.70992,6.58824,
2.03562,6.58824,
3.01272,6.27451,
4.01018,5.83529,
4.98728,5.23922,
6.02545,3.20000,
7.26718,0,
