---------			
FIGNO:MTC12073			
XPROP:Cr-content			
XUNIT:x in Nb1-xCrx			
YPROP:Tc			
YUNIT:K			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
0.037	8.19 	1	1
0.058	7.03 	1	2
0.062	6.62 	1	3
0.074	5.99 	1	4
0.102	5.00 	1	5
0.12	4.03 	1	6
0.145	3.01 	1	7
0.162	1.98 	1	8
