"r (mWcm)(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/12/07, 9:22:52",
,
,
71,
Temperature (K),r (mWcm)
11.5528,427.536
14.5342,417.184
16.0248,413.043
17.1429,409.938
17.5155,407.867
18.6335,406.832
19.7516,390.269
21.9876,393.375
24.2236,363.354
26.087,354.037
28.323,336.439
29.8137,312.629
32.4224,301.242
33.913,283.644
36.1491,274.327
36.8944,260.87
40.2484,254.658
41.7391,238.095
44.3478,234.99
46.5839,224.638
48.0745,213.251
49.1925,210.145
50.3106,203.934
52.1739,200.828
53.6646,183.23
56.2733,181.159
57.764,174.948
59.6273,172.878
61.4907,154.244
64.8447,156.315
66.3354,148.033
67.4534,141.822
68.9441,138.716
70.0621,134.576
71.5528,130.435
72.6708,127.329
74.9068,125.259
76.0248,116.977
77.5155,111.801
78.6335,108.696
80.1242,102.484
82.7329,102.484
84.9689,96.2733
86.4596,91.0973
87.9503,89.0269
89.8137,84.8861
91.677,80.7453
93.5404,76.6046
95.4037,72.4638
98.7578,69.3582
100.621,64.1822
102.857,60.0414
105.466,56.9358
106.957,53.8302
109.193,56.9358
110.683,52.795
112.547,50.7246
113.292,44.5135
115.901,41.4079
118.137,37.2671
120,33.1263
122.609,33.1263
126.335,30.0207
128.944,26.9151
131.18,24.8447
134.534,22.7743
137.516,21.7391
139.752,19.6687
142.36,19.6687
144.969,15.528
147.95,15.528
