"M (kA/m)(m0H (mT)), created by Plot Digitizer, 2.6.8",
"Date: 23/09/26, 8:25:55",
,
,
142,
m0H (mT),M (kA/m)
300K,
-300,-334.821
-136.928,-343.75
-13.7371,-343.75
-6.64697,-325.893
0.443131,-312.5
4.87445,-75.8929
7.53324,125
9.30576,281.25
10.192,339.286
66.0266,334.821
128.951,330.357
191.876,330.357
299.114,334.821
155.539,339.286
39.4387,343.75
3.98818,316.964
-0.443131,299.107
-0.443131,191.964
-3.10192,4.46429
-7.53324,-178.571
-9.30576,-285.714
-11.9645,-330.357
-92.6145,-334.821
-219.35,-334.821
-298.227,-339.286
,
70K,
-298.227,-709.821
-68.6854,-714.286
-29.6898,-714.286
-13.7371,-714.286
-5.76071,-687.5
1.32939,-651.786
3.10192,-441.964
4.87445,-232.143
6.64697,-26.7857
9.30576,437.5
10.192,625
18.1684,656.25
38.5524,687.5
58.0502,709.821
123.634,709.821
298.227,700.893
169.719,714.286
67.7991,709.821
19.9409,696.429
7.53324,683.036
2.21566,651.786
-0.443131,540.179
-1.32939,392.857
-2.21566,254.464
-9.30576,-450.893
-8.4195,-598.214
-15.5096,-656.25
-27.031,-678.571
-44.7563,-700.893
-151.108,-714.286
-299.114,-709.821
,
70K,
-299.114,-709.821
-298.227,-709.821
-172.378,-718.75
-75.7755,-718.75
-24.3722,-709.821
-18.1684,-700.893
-7.53324,-696.429
-2.21566,-691.964
11.0783,638.393
18.1684,678.571
36.7799,691.964
50.9601,700.893
92.6145,705.357
154.653,709.821
297.341,709.821
136.928,705.357
37.6662,705.357
14.6233,700.893
6.64697,683.036
0.443131,593.75
-3.10192,464.286
-7.53324,-236.607
-9.30576,-486.607
-11.0783,-633.929
-26.1448,-669.643
-42.9838,-696.429
-66.0266,-709.821
-128.065,-709.821
-298.227,-714.286
,
20K,
-298.227,-714.286
-229.985,-714.286
-207.829,-723.214
-157.312,-781.25
-52.7326,-892.857
-49.1876,-839.286
-38.5524,-941.964
-29.6898,-964.286
-18.1684,-982.143
-10.192,-991.071
-3.10192,-986.607
2.21566,-964.286
3.98818,-477.679
9.30576,312.5
15.5096,370.536
28.8035,406.25
36.7799,446.429
44.7563,482.143
50.0739,508.929
50.9601,549.107
67.7991,549.107
89.0694,571.429
117.43,593.75
145.79,625
166.174,638.393
188.331,665.179
212.26,700.893
227.326,700.893
254.801,714.286
276.957,705.357
299.114,705.357
245.052,705.357
225.554,718.75
192.762,754.464
139.586,808.036
95.2733,848.214
66.0266,883.929
50.9601,883.929
50.9601,857.143
42.9838,928.571
35.0074,946.429
24.3722,977.679
13.7371,986.607
1.32939,1000
-1.32939,821.429
-3.98818,593.75
-3.98818,111.607
-5.76071,-191.964
-6.64697,-325.893
-23.486,-392.857
-38.5524,-482.143
-45.6425,-495.536
-49.1876,-517.857
-95.2733,-562.5
-156.425,-625
-223.781,-691.964
-299.114,-691.964
