"MFMMS signal (arb. units)(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/02/21, 15:37:25",
,
,
443,
Temperature (K),MFMMS signal (arb. units)
4.69957,0.0110983
4.74668,0.0112707
4.78522,0.0187288
4.78951,0.0114274
4.8152,0.0115214
4.82375,0.0261869
4.8366,0.0262339
4.85799,0.0482634
4.88365,0.0703087
4.8965,0.0703557
4.91789,0.0923852
4.93496,0.13635
4.95209,0.136413
4.96921,0.15111
4.96918,0.173061
4.97344,0.187711
4.98626,0.209709
4.99053,0.224359
5.03329,0.275735
5.05039,0.297749
5.06322,0.31243
5.13598,0.349282
5.13596,0.363916
5.15307,0.38593
5.17878,0.37139
5.20448,0.371484
5.20878,0.356865
5.22587,0.386196
5.2387,0.400877
5.25152,0.422876
5.27721,0.430287
5.29003,0.452285
5.30284,0.4816
5.31565,0.510916
5.32846,0.540231
5.33261,0.642686
5.33254,0.701222
5.34104,0.752473
5.36682,0.776713
5.3624,0.796454
5.36232,0.862307
5.36648,0.957445
5.37491,1.06723
5.3748,1.15504
5.3833,1.20629
5.39604,1.29414
5.39172,1.32339
5.39609,1.25024
5.40904,1.1698
5.40915,1.08199
5.41789,0.942999
5.42228,0.85521
5.42234,0.811307
5.43961,0.701614
5.43969,0.63576
5.44406,0.569922
5.4485,0.438231
5.45295,0.306539
5.45288,0.365075
5.46159,0.248034
5.47023,0.189528
5.47897,0.0505353
5.47903,-0.00068418
5.48339,-0.0592051
5.48344,-0.103108
5.49207,-0.154296
5.50928,-0.21277
5.52642,-0.220024
5.55639,-0.229914
5.59495,-0.22709
5.62921,-0.226965
5.65917,-0.232221
5.67634,-0.241427
5.762,-0.248431
5.82624,-0.248196
5.84764,-0.2408
5.87762,-0.24069
5.90332,-0.240596
5.92045,-0.247851
5.9333,-0.247804
6.02323,-0.240158
6.0832,-0.247255
6.13458,-0.23975
6.20307,-0.237548
6.2288,-0.239406
6.25449,-0.239312
6.28017,-0.234583
6.33157,-0.231713
6.34442,-0.231666
6.37869,-0.238857
6.41293,-0.234098
6.45149,-0.238591
6.47718,-0.23118
6.50716,-0.23107
6.57567,-0.233502
6.60137,-0.233408
6.63564,-0.2306
6.67846,-0.230443
6.6956,-0.237698
6.73414,-0.23024
6.76411,-0.222813
6.79409,-0.222703
6.80693,-0.222656
6.82835,-0.222578
6.84976,-0.2225
6.86261,-0.222453
6.8926,-0.236977
6.91829,-0.229566
6.95255,-0.229441
6.97824,-0.22203
6.99537,-0.221967
7.00392,-0.207301
4.69959,-0.0035358
4.7167,0.011161
4.7424,0.011255
4.75953,0.0113177
4.78523,0.0114117
4.80664,0.0114901
4.80661,0.0334413
4.81943,0.0554395
4.83226,0.0701206
4.85365,0.0921502
4.86219,0.114133
4.89214,0.136194
4.90068,0.150859
4.91352,0.158223
4.92202,0.209474
4.92201,0.216791
4.93482,0.253424
4.94766,0.253471
4.96902,0.297451
4.96898,0.334037
4.99039,0.334115
5.00749,0.356129
5.01175,0.378096
5.00744,0.400031
5.02026,0.42203
5.03308,0.444028
5.04594,0.436758
5.07592,0.42955
5.08875,0.444231
5.0973,0.458897
5.11015,0.458944
5.11441,0.473594
5.13581,0.488306
5.14864,0.502987
5.16578,0.488416
5.17438,0.466496
5.19151,0.466559
5.20864,0.466621
5.21288,0.503222
5.23001,0.503285
5.2514,0.517998
5.26422,0.539996
5.27276,0.561978
5.28126,0.613229
5.28552,0.627879
5.30262,0.65721
5.30253,0.730381
5.31094,0.854802
5.31512,0.935306
5.31498,1.04506
5.31916,1.12557
5.32333,1.21339
5.32758,1.24267
5.33607,1.30124
5.33611,1.27197
5.3448,1.16956
5.35358,1.0013
5.35364,0.950081
5.36673,0.759884
5.36703,0.518421
5.38459,0.174581
5.38038,0.116029
5.39349,-0.0888024
5.40213,-0.147308
5.40649,-0.213146
5.40658,-0.278999
5.42382,-0.366742
5.44526,-0.388614
5.47097,-0.403155
5.5052,-0.381078
5.52662,-0.381
5.53946,-0.373636
5.56517,-0.388176
5.60371,-0.388035
5.63368,-0.380608
5.72794,-0.409532
5.74506,-0.402152
5.76646,-0.394756
5.77074,-0.387424
5.81359,-0.409218
5.82215,-0.40187
5.86071,-0.416363
5.86069,-0.401729
5.89491,-0.395018
