figno     	xdata      	ydata      	pdata      	number       
SP1454    	1.938	1.597	1	1
SP1454    	2.403	1.33	1	2
SP1454    	3.023	1.153	1	3
SP1454    	3.799	1.064	1	4
SP1454    	4.419	0.976	1	5
SP1454    	5.504	0.931	1	6
SP1454    	6.589	0.976	1	7
SP1454    	7.519	0.976	1	8
SP1454    	9.225	0.976	1	9
SP1454    	10.155	0.931	1	10
SP1454    	11.395	0.976	1	11
SP1454    	12.481	0.976	1	12
SP1454    	13.721	0.976	1	13
SP1454    	15.116	1.02	1	14
SP1454    	16.667	1.02	1	15
SP1454    	18.217	1.109	1	16
SP1454    	19.612	1.109	1	17
SP1454    	21.473	1.197	1	18
SP1454    	22.558	1.197	1	19
SP1454    	24.108	1.197	1	20
SP1454    	25.504	1.242	1	21
SP1454    	26.744	1.242	1	22
SP1454    	28.605	1.375	1	23
SP1454    	30	1.419	1	24
SP1454    	31.395	1.419	1	25
SP1454    	32.326	1.463	1	26
SP1454    	34.186	1.552	1	27
SP1454    	35.581	1.552	1	28
SP1454    	36.822	1.641	1	29
SP1454    	38.682	1.597	1	30
SP1454    	40.233	1.641	1	31
SP1454    	41.628	1.73	1	32
SP1454    	43.178	1.73	1	33
SP1454    	44.884	1.774	1	34
SP1454    	46.434	1.907	1	35
SP1454    	48.76	1.951	1	36
SP1454    	50.93	1.996	1	37
SP1454    	52.326	2.04	1	38
SP1454    	53.721	2.129	1	39
SP1454    	55.116	2.129	1	40
SP1454    	57.752	2.262	1	41
SP1454    	59.612	2.35	1	42
SP1454    	62.093	2.35	1	43
SP1454    	63.333	2.395	1	44
SP1454    	64.884	2.439	1	45
SP1454    	66.279	2.439	1	46
SP1454    	67.519	2.483	1	47
SP1454    	69.225	2.528	1	48
SP1454    	70.31	2.572	1	49
SP1454    	70.526	2.461	1	50
SP1454    	72.398	2.55	1	51
SP1454    	74.581	2.55	1	52
SP1454    	76.608	2.639	1	53
SP1454    	79.727	2.816	1	54
SP1454    	83.314	2.949	1	55
SP1454    	87.056	3.038	1	56
SP1454    	90.487	3.126	1	57
SP1454    	94.386	3.259	1	58
SP1454    	98.441	3.393	1	59
