---------			
FIGNO:MTC12380			
XPROP:Cr-content in Ti1-xCrx			
XUNIT:at %			
YPROP:Tc			
YUNIT:K			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
0	0.51	1	1
1.1	2.13	1	2
1.8	2.94	1	3
2.7	3.5	1	4
4.1	3.45	1	5
5.9	2.3	1	6
10.1	1.52	1	7
10.5	2.25	1	8
11.1	3.78	1	9
12.7	4.1	1	10
15.2	4.18	1	11
20.3	4.16	1	12
25.2	3.75	1	13
30.2	3.46	1	14
