"rab (mWcm)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/03/22, 11:10:48",
,
,
143,
T (K),rab (mWcm)
0,0.00140105
7.83526,0.112121
7.23369,-0.00416937
8.13456,0.176571
8.75063,0.231215
9.6848,0.270448
10.9357,0.299876
13.7639,0.308296
17.5362,0.313918
25.083,0.315354
38.6021,0.328027
60.609,0.351947
78.8437,0.370246
94.2489,0.38573
105.881,0.399794
120.655,0.423681
133.859,0.439155
149.261,0.465846
162.464,0.485523
173.78,0.509394
191.068,0.541699
213.699,0.583836
233.185,0.630162
249.529,0.665264
260.53,0.689133
276.56,0.721433
287.56,0.748104
298.876,0.76637
