"m0Hc2(0) (T)(Tc (K)), created by Plot Digitizer, 2.6.8"
"Date: 21/10/22, 10:59:37"


20
Tc (K),m0Hc2(0) (T)
3.12088,4.00754,
3.16484,3.90704,
3.12088,3.69347,
3.25275,3.49246,
4.41758,0.452261,
5.27473,0.577889,
7.25275,1.09296,
7.40659,1.05528,
3.16484,4.48492,
3.34066,4.39699,
3.56044,4.38442,
3.38462,4.34673,
3.27473,3.99497,
4.54945,2.83920,
5.38462,0.577889,
6.41758,0.778894,
2.54945,2.19849,
2.92308,2.68844,
7.03297,0.577889,
6.98901,1.09296,
