"r (mWcm)(Temperarure (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/12/07, 7:34:44",
,
,
74,
Temperarure (K),r (mWcm)
11.9588,496.767
13.6082,475.216
15.6701,478.448
18.1443,451.509
20.2062,445.043
22.268,415.948
23.9175,397.629
25.9794,380.388
28.4536,380.388
29.6907,369.612
31.7526,343.75
35.8763,323.276
37.5258,310.345
40,303.879
44.5361,284.483
42.0619,299.569
46.1856,273.707
49.4845,275.862
50.3093,252.155
52.7835,258.621
54.433,247.845
54.8454,235.991
58.1443,225.216
60.2062,219.828
61.8557,211.207
63.0928,206.897
64.3299,202.586
65.567,200.431
68.0412,189.655
70.1031,181.034
72.1649,169.181
74.6392,173.491
75.0515,162.716
79.5876,147.629
80,142.241
81.6495,137.931
82.4742,134.698
84.5361,132.543
86.1856,127.155
87.8351,119.612
89.8969,107.759
90.7216,109.914
93.1959,104.526
94.433,100.216
96.4948,95.9052
98.1443,89.4397
99.3814,86.2069
100.619,82.9741
102.268,79.7414
103.505,76.5086
105.979,68.9655
109.278,68.9655
111.753,63.5776
114.227,58.1897
115.876,53.8793
117.113,53.8793
119.175,51.7241
120.825,46.3362
121.649,47.4138
122.887,49.569
123.711,45.2586
126.186,40.9483
127.835,38.7931
131.959,37.7155
133.608,36.6379
136.082,35.5603
137.732,33.4052
140.619,29.0948
144.33,29.0948
147.629,28.0172
150.515,25.8621
153.402,24.7845
155.464,21.5517
157.938,21.5517
