"Tc [K](l), created by Plot Digitizer, 2.6.8"
"Date: 20/12/25, 13:02:19"


5
l,Tc [K]
1.17524,-0.0679340,
2.81538,38.2772,
3.51989,50.0864,
5.11387,71.6709,
9.22250,90.5089,
