"l (T) [nm](T/Tc), created by Plot Digitizer, 2.6.8"
"Date: 21/08/16, 12:11:49"


28
T/Tc,l (T) [nm]
0.828375,159.574,
0.771167,140,
0.693364,123.404,
0.535469,105.319,
0.318078,93.6170,
0.279176,94.6809,
0.755149,159.787,
0.670481,138.298,
0.482838,112.979,
0.258581,97.2340,
0.00457666,88.7234,
0.780320,159.787,
0.704805,138.723,
0.572082,117.872,
0.430206,104.894,
0.242563,94.4681,
0.00228833,88.7234,
0.661327,133.191,
0.608696,124.043,
0.558352,115.106,
0.503433,109.362,
0.391304,102.340,
0.334096,99.3617,
0.217391,92.9787,
0.155606,91.2766,
0.0938215,90,
0.0343249,90.2128,
0.0114416,89.3617,
