"n2D (1013cm-2)(1/R (W-1)), created by Plot Digitizer, 2.6.8",,
"Date: 21/12/14, 9:10:01",,
,,
,,
24,,
1/R (W-1),n2D (1013cm-2),mH (cm2/Vs)
2.87E-05,-1.85606,
4.74E-05,-1.98864,
7.96E-05,-2.625,
0.000200886,-3.81818,
3.31E-04,-3.702,
0.000398599,-3.68561,
2.93E-05,-2.67803,
4.74E-05,-2.54545,
7.96E-05,-2.91667,
0.000204641,-3.52652,
0.000331213,-3.87121,
0.000391285,-4.16288,
2.88E-05,,10.1076
4.76E-05,,14.3043
8.00E-05,,18.5377
0.000206308,,34.0147
0.000340611,,52.5235
0.000395161,,65.3135
2.94E-05,,7.12126
4.76E-05,,12.0052
8.00E-05,,17.7416
0.000206308,,35.5285
0.000346994,,54.8674
0.000395161,,57.2688
