"m0Hc1 (mT)(T (K)), created by Plot Digitizer, 2.6.8"
"Date: 21/08/19, 7:40:53"


18
T (K),m0Hc1 (mT)
2.03622,11.4535,
2.99908,11.1117,
4.04803,9.97940,
5.05352,9.01655,
6.05857,7.82790,
6.97529,6.24435,
8.06815,5.16833,
8.98540,3.86704,
10.0330,2.00082,
1.98507,7.55841,
3.03499,6.93414,
4.04143,6.47936,
5.09113,5.74219,
5.92090,4.49763,
6.48917,3.93132,
7.01365,3.36515,
7.49391,2.57331,
7.97342,1.38631,
