"R (W)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/02/24, 9:58:36",
,
,
386,
T (K),R (W)
175.41,0
179.625,0.0243506
179.625,0.113636
179.625,0.178571
179.625,0.219156
179.625,0.251623
180.094,0.332792
180.094,0.430195
180.094,0.584416
180.094,0.746753
180.094,0.982143
180.094,1.1526
180.094,1.25
180.094,1.33117
180.562,1.3961
180.094,1.42857
180.094,1.48539
180.094,1.52597
180.094,1.58279
180.094,1.63961
180.562,1.71266
184.309,1.71266
186.183,1.72078
188.993,1.72078
191.803,1.7289
194.145,1.74513
196.956,1.76136
199.766,1.78571
203.513,1.81006
204.45,1.8263
205.855,1.83442
207.728,1.85877
208.665,1.875
212.412,1.88312
215.222,1.86688
218.501,1.85065
221.78,1.86688
222.717,1.875
225.527,1.89123
228.337,1.89935
230.679,1.93182
233.489,1.94805
235.831,1.9724
238.642,2.00487
242.857,2.04545
246.604,2.06981
248.946,2.11039
251.288,2.12662
252.693,2.13474
254.567,2.15909
257.377,2.18344
259.251,2.19968
262.529,2.23214
265.34,2.26461
268.15,2.28896
270.492,2.31331
273.77,2.33766
276.112,2.37013
279.391,2.38636
281.265,2.41071
282.67,2.43507
284.543,2.46753
286.885,2.48377
289.227,2.5
292.506,2.48377
95.7845,0
189.461,0
189.93,0.0324675
189.93,0.0974026
189.93,0.137987
189.93,0.178571
189.93,0.23539
189.93,0.292208
189.93,0.381494
189.93,0.405844
189.93,0.462662
189.93,0.519481
189.93,0.568182
189.93,0.625
189.93,0.681818
189.93,0.803571
189.93,0.86039
189.93,0.925325
189.93,0.974026
189.93,1.06331
189.93,1.1039
189.93,1.16883
190.867,1.25812
190.398,1.33117
190.867,1.38799
190.867,1.46916
190.867,1.51786
190.398,1.57468
190.398,1.63149
190.867,1.67208
190.867,1.71266
190.867,1.76136
190.867,1.78571
190.867,1.81006
190.867,1.85065
190.867,1.88312
191.335,1.9237
191.335,1.93994
193.677,1.96429
196.019,1.98052
200.234,2.01299
203.981,2.0211
206.323,2.03734
208.665,2.06169
211.475,2.06981
213.817,2.08604
218.97,2.11039
222.717,2.15097
224.122,2.16721
228.337,2.16721
230.211,2.19968
233.489,2.21591
235.831,2.24026
239.11,2.24838
241.452,2.28084
244.262,2.30519
246.604,2.32143
250.82,2.36201
252.693,2.38636
254.567,2.39448
255.972,2.41071
258.314,2.42695
260.656,2.44318
263.934,2.45942
266.276,2.49188
270.492,2.49188
272.834,2.49188
276.112,2.49188
279.859,2.49188
282.67,2.49188
287.822,2.5
291.569,2.49188
292.506,2.48377
97.1897,0
208.197,0
208.665,0
209.133,0.0405844
209.133,0.0892857
209.133,0.146104
209.133,0.186688
209.133,0.219156
209.133,0.316558
209.133,0.438312
209.133,0.560065
209.133,0.730519
209.133,0.836039
209.133,0.933442
209.133,0.99026
209.602,1.07143
209.602,1.13636
210.07,1.18506
210.07,1.24188
210.07,1.28247
211.007,1.31494
211.007,1.3474
213.349,1.35552
215.691,1.3474
219.906,1.35552
222.248,1.35552
224.122,1.35552
