"#,デジダイザーの出力"
""
"#,1ch","Temperature","[K]"
"#,2ch","Resistovity ","[microOhm cm]"
1,6.756756,1.000014
2,9.26641,0
3,10.13513,0
4,10.71429,2.000029
5,11.19691,7.000029
6,11.58301,16.00001
7,11.87259,24.00006
8,12.16216,39.00006
9,12.45174,60
10,12.64479,83
11,12.93436,99.00002
12,13.12741,122
13,13.41699,140
14,13.61004,160
15,13.80309,182
16,13.99614,196
17,14.28571,213
18,14.47876,228
19,14.67181,240
20,14.86487,254
