"c (10-2emug-1Oe-1)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/12/12, 13:43:32",
,
,
188,
T (K),c (10-2emug-1Oe-1)
2,-1.09744
2.26667,-1.09744
2.53333,-1.10769
2.8,-1.10769
3.06667,-1.09744
3.33333,-1.09744
3.62424,-1.08718
3.84242,-1.09744
4.10909,-1.09744
4.4,-1.09744
4.61818,-1.09744
4.83636,-1.09744
5.10303,-1.07692
5.34545,-1.06667
5.58788,-1.0359
5.8303,-0.984615
6.07273,-0.892308
6.33939,-0.748718
7.09091,-0.0923077
7.04242,-0.102564
7.72121,0.0205128
7.33333,0
7.62424,0.0102564
7.7697,0.0102564
8.32727,0.0102564
8.52121,0.0102564
8.81212,0.0102564
9.2,0.0205128
9.53939,0.0205128
9.85455,0.0205128
10.0242,0.0205128
2,-0.779487
2.26667,-0.779487
2.50909,-0.789744
2.72727,-0.8
2.9697,-0.789744
3.23636,-0.8
3.45455,-0.8
3.69697,-0.789744
3.93939,-0.789744
4.18182,-0.789744
4.44848,-0.769231
4.73939,-0.779487
4.98182,-0.779487
5.22424,-0.769231
5.44242,-0.748718
5.68485,-0.728205
5.97576,-0.68718
6.19394,-0.635897
6.50909,-0.523077
6.72727,-0.358974
7.01818,-0.112821
7.24242,-0.0102564
7.52727,0.0102564
8.76364,0.0410256
8.18182,0
8.61818,0.0205128
9.29697,0.0205128
9.75758,0
10.0242,0
2,-3.39487
2.33939,-3.39487
2.60606,-3.39487
2.84848,-3.39487
3.11515,-3.39487
3.38182,-3.39487
3.62424,-3.39487
3.84242,-3.38462
4.10909,-3.37436
4.37576,-3.34359
4.61818,-3.27179
4.76364,-3.2
5.07879,-3.0359
5.3697,-2.77949
5.58788,-2.46154
5.90303,-2.08205
6.12121,-1.68205
6.36364,-1.24103
6.58182,-0.789744
6.87273,-0.389744
7.21212,-0.0102564
7.35758,0.0102564
7.45455,0.0102564
7.96364,0.0205128
8.35151,0.0205128
8.69091,0.0205128
9.66061,0.0205128
9.41818,0.0205128
10.0242,0.0102564
2,-0.625641
2.24242,-0.625641
2.48485,-0.615385
2.67879,-0.625641
2.92121,-0.625641
3.13939,-0.625641
3.62424,-0.625641
3.91515,-0.625641
4.08485,-0.625641
4.30303,-0.605128
4.42424,-0.605128
4.71515,-0.605128
4.90909,-0.594872
5.17576,-0.574359
5.46667,-0.553846
5.68485,-0.523077
5.92727,-0.471795
5.95152,-0.451282
6.50909,-0.348718
6.70303,-0.225641
6.99394,-0.123077
7.18788,-0.0102564
7.52727,0.0307692
7.72121,0.0512821
7.93939,0.0102564
8.13333,0
8.98182,0
9.41818,0
9.66061,0
9.97576,0.0102564
2.07273,-0.68718
2.29091,-0.697436
2.53333,-0.707692
2.87273,-0.707692
3.09091,-0.717949
3.33333,-0.717949
3.52727,-0.697436
3.81818,-0.697436
4.20606,-0.697436
4.32727,-0.68718
4.64242,-0.68718
4.88485,-0.676923
5.07879,-0.65641
5.34545,-0.65641
5.61212,-0.646154
5.8303,-0.615385
6.09697,-0.574359
6.33939,-0.502564
6.6303,-0.389744
6.77576,-0.297436
6.87273,-0.205128
6.9697,-0.123077
7.21212,-0.0307692
7.30909,0.0205128
7.64848,-0.0102564
7.96364,0.0102564
8.27879,0.0102564
8.44848,0.0102564
8.69091,0.0205128
9.05455,0.0205128
9.39394,0.0205128
9.58788,0.0205128
9.75758,0.0205128
9.95152,0.0102564
2.04848,-0.584615
2.19394,-0.574359
2.36364,-0.564103
2.6303,-0.584615
2.87273,-0.594872
3.09091,-0.564103
3.26061,-0.594872
3.47879,-0.594872
3.74545,-0.553846
3.91515,-0.564103
4.20606,-0.574359
4.30303,-0.574359
4.52121,-0.574359
4.73939,-0.574359
5.0303,-0.553846
5.27273,-0.54359
5.49091,-0.512821
5.63636,-0.512821
5.80606,-0.482051
6.09697,-0.451282
6.38788,-0.379487
6.48485,-0.348718
6.55758,-0.307692
6.58182,-0.25641
6.70303,-0.133333
6.99394,-0.0512821
7.21212,0.0102564
7.35758,0.0307692
7.91515,0.0307692
8.10909,0.0307692
8.32727,0.0307692
9.0303,0.0307692
9.41818,0.0102564
9.85455,0.0205128
10,0
