"rxx/m0H (10-9m3C-1)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/02/01, 13:30:59",
,
,
T (K),rxx/m0H (10-9m3C-1)
x=0 (S1),35
8.31933,2.60606
8.57143,-3.21212
9.83193,-15.9394
10.3361,-19.2121
11.5966,-21.5152
18.9076,-24.7879
23.4454,-24.1818
27.7311,-22.6061
31.0084,-20.6667
34.2857,-18.8485
36.3025,-17.0303
39.5798,-15.2121
41.8487,-13.5152
44.6218,-11.8182
47.8992,-9.15152
51.1765,-7.33333
54.7059,-5.27273
57.9832,-3.45455
62.2689,-1.63636
66.3025,0.0606061
72.1008,1.51515
75.8824,2.36364
78.9076,2.9697
81.9328,3.45455
86.4706,4.18182
89.7479,4.78788
91.7647,4.18182
94.0336,3.33333
97.563,2.48485
100.588,1.87879
104.118,1.0303
107.647,0.787879
111.176,0.424242
115.462,0.181818
117.731,-0.181818
,
x=0 (S2),18
2.77311,1.15152
4.03361,-0.424242
8.57143,1.15152
9.07563,-1.63636
13.1092,-23.8182
19.1597,-25.1515
25.2101,-23.8182
30.5042,-18.2424
36.5546,-14.1212
53.1933,-4.06061
62.7731,1.87879
77.8992,3.33333
86.2185,2.24242
94.2857,2.12121
100.336,1.87879
109.916,-0.181818
117.731,-0.424242
119.496,-0.30303
,
0.07,13
1.76471,0.787879
10.084,0.0606061
20.6723,-1.75758
33.2773,0.545455
45.8824,3.57576
55.9664,4.78788
46.3866,8.18182
72.3529,2.60606
80.4202,2.60606
94.7899,1.75758
104.118,1.0303
110.42,0.181818
118.739,0.0606061
,
0.11,14
7.81513,-0.0606061
21.9328,7.09091
33.2773,8.90909
46.3866,8.90909
55.7143,6.84848
66.0504,4.78788
75.1261,3.81818
89.4958,2.72727
93.5294,2.60606
96.5546,2.12121
103.109,2
108.655,1.51515
112.185,0.666667
116.975,0.545455
,
0.17,18
7.81513,0.30303
8.82353,2.48485
10.5882,4.54545
13.6134,10.7273
18.6555,11.3333
24.958,10.9697
31.2605,9.63636
37.0588,8.42424
52.9412,6.24242
62.521,4.90909
70.8403,4.66667
77.395,3.81818
85.4622,3.09091
88.9916,2.72727
93.7815,2.36364
100.84,1.63636
108.655,0.545455
117.227,-0.30303
,
0.17 (S2),39
8.31933,0.787879
9.57983,2.24242
9.32773,4.54545
10.5882,6.24242
10.5882,7.21212
13.6134,7.57576
17.1429,7.93939
19.6639,8.42424
22.9412,8.54545
24.4538,9.0303
27.2269,9.27273
28.9916,10
32.2689,9.87879
33.5294,9.87879
36.8067,9.63636
39.5798,9.15152
43.6134,8.42424
50.4202,7.81818
53.1933,6.9697
57.9832,6.84848
62.0168,6.60606
67.0588,5.75758
70.5882,5.51515
73.8655,4.90909
78.4034,4.54545
81.1765,4.30303
83.9496,4.18182
87.2269,3.57576
90.7563,2.9697
93.7815,2.9697
97.563,2.72727
101.092,2.24242
103.866,2.24242
106.387,2
108.655,1.87879
110.672,1.75758
115.21,1.27273
117.227,1.51515
120,1.39394
,
0.25,8
5.54622,0.545455
15.3782,0.909091
20.4202,1.39394
31.5126,1.0303
40.084,1.51515
68.3193,0.787879
71.3445,1.15152
75.8824,2.60606
