"c (10-2 emug-1Oe-1)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/12/06, 13:48:01",
,
,
126 ,
T (K),c (10-2 emug-1Oe-1)
1.97778 ,-3.38889 
2.26667 ,-3.37778 
2.51111 ,-3.38889 
2.75556 ,-3.38889 
2.97778 ,-3.38889 
3.24444 ,-3.37778 
3.51111 ,-3.37778 
3.73333 ,-3.36667 
4.06667 ,-3.34444 
4.31111 ,-3.28889 
4.53333 ,-3.21111 
4.95556 ,-3.04444 
5.13333 ,-3.00000 
5.31111 ,-2.86667 
5.57778 ,-2.60000 
5.80000 ,-2.27778 
6.06667 ,-1.85556 
6.44444 ,-0.95556 
6.86667 ,-0.24444 
7.40000 ,0.00000 
7.53333 ,0.00000 
7.80000 ,0.00000 
8.15556 ,0.00000 
8.71111 ,0.00000 
8.88889 ,0.00000 
9.08889 ,-0.01111 
9.28889 ,-0.02222 
9.60000 ,-0.02222 
9.80000 ,0.00000 
10.00000 ,0.00000 
2.00000 ,-0.26667 
2.15556 ,-0.27778 
2.40000 ,-0.28889 
2.66667 ,-0.26667 
2.88889 ,-0.27778 
3.17778 ,-0.26667 
3.44444 ,-0.26667 
3.64444 ,-0.27778 
3.93333 ,-0.25556 
4.20000 ,-0.26667 
4.35556 ,-0.25556 
4.71111 ,-0.25556 
4.97778 ,-0.24444 
5.15556 ,-0.20000 
5.44444 ,-0.24444 
5.62222 ,-0.23333 
5.75556 ,-0.22222 
5.86667 ,-0.18889 
6.11111 ,-0.17778 
6.31111 ,-0.15556 
6.40000 ,-0.14444 
6.71111 ,-0.11111 
7.17778 ,-0.03333 
7.51111 ,-0.02222 
7.88889 ,-0.02222 
8.31111 ,-0.03333 
8.75556 ,-0.03333 
9.20000 ,-0.03333 
9.44444 ,-0.01111 
9.91111 ,-0.02222 
2.00000 ,-0.91111 
2.35556 ,-0.93333 
2.60000 ,-0.93333 
2.82222 ,-0.94444 
3.06667 ,-0.94444 
3.35556 ,-0.94444 
3.57778 ,-0.94444 
3.82222 ,-0.92222 
4.15556 ,-0.91111 
4.40000 ,-0.91111 
4.62222 ,-0.88889 
4.82222 ,-0.87778 
5.26667 ,-0.82222 
5.55556 ,-0.76667 
5.82222 ,-0.71111 
6.04444 ,-0.64444 
6.33333 ,-0.53333 
6.55556 ,-0.43333 
6.71111 ,-0.36667 
7.17778 ,-0.02222 
7.33333 ,0.00000 
7.66667 ,-0.02222 
7.91111 ,0.00000 
8.37778 ,0.00000 
8.60000 ,0.02222 
8.80000 ,0.02222 
9.02222 ,0.02222 
9.33333 ,0.02222 
9.75556 ,0.03333 
10.04440 ,0.02222 
1.97778 ,-0.21111 
2.22222 ,-0.21111 
2.42222 ,-0.20000 
2.64444 ,-0.20000 
2.93333 ,-0.18889 
3.22222 ,-0.18889 
3.42222 ,-0.18889 
3.64444 ,-0.18889 
3.91111 ,-0.18889 
4.15556 ,-0.18889 
4.46667 ,-0.18889 
4.86667 ,-0.17778 
5.13333 ,-0.16667 
5.28889 ,-0.16667 
5.48889 ,-0.15556 
5.71111 ,-0.15556 
5.91111 ,-0.14444 
6.00000 ,-0.12222 
6.17778 ,-0.11111 
6.37778 ,-0.07778 
6.66667 ,-0.05556 
6.95556 ,-0.04444 
7.15556 ,0.01111 
7.33333 ,0.02222 
7.57778 ,0.02222 
7.84444 ,0.01111 
8.00000 ,0.01111 
8.26667 ,0.01111 
8.51111 ,0.02222 
8.73333 ,0.02222 
9.04444 ,0.02222 
9.22222 ,0.02222 
9.48889 ,0.03333 
9.62222 ,0.02222 
9.84444 ,0.02222 
10.08890 ,0.03333 
