---------			
FIGNO:OTC342			
XPROP:Cu(2+) content 			
XUNIT:ppm			
YPROP:Tc			
YUNIT:K			
PPROP:			
PUNIT:			
---------			
xdata	ydata	pdata	number
0	0	1	1
90	4.3	1	2
430	5.2	1	3
580	3.87	1	4
830	4.32	1	5
1200	3.96	1	6
